报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),16042,16157,17261,35399,39441,53705,43398,49992,36852,43364,57424,16357,8162,5322,15693,19573,16118,19487,22771,30031,20834,20565,23848,25072,25345,27897,29419,35081,36476,35283,40521,43499,42092,39835,37756,38551,41167,7722,8297,5749,2074,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
应收票据(万元),1253,598,3414,3993,940,1706,2365,2497,2467,1572,721,1726,493,716,628,1214,987,663,1190,1690,4119,3990,283,724,4132,5762,3573,3155,1664,525,214,0,--,0,--,0,0,0,0,0,0,
应收账款(万元),84958,65324,36578,36541,30486,34475,31987,24196,71530,34879,29313,28626,25005,22052,19194,14552,14575,6542,3772,2838,7504,6606,9905,10133,6252,4609,3868,3685,2832,1995,2351,1473,1297,1361,893,798,755,752,604,415,105,
预付款项(万元),17403,13805,12462,13331,9800,2402,3109,4828,8153,14244,4388,6684,2434,1284,560,443,5731,5773,3324,332,537,603,1244,804,497,502,923,2635,2603,1626,574,702,253,814,642,613,648,616,107,663,0,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
应收股利(万元),--,--,277,--,--,--,277,--,--,--,277,--,--,128,128,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
其他应收款(万元),6029,4661,10072,6007,221,219,681,491,741,443,67681,439,268,311,307,360,1881,516,280,177,2005,1845,1943,1741,230,267,525,196,764,217,102,72,105,151,73,87,81,75,61,246,400,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
存货(万元),32714,111185,126752,124311,115229,112852,111549,104039,52907,78041,51351,49654,50040,43554,39563,32665,21605,11807,9826,6804,7449,8165,5951,5217,7758,6297,7723,4052,4074,2376,--,0,--,0,24,0,0,0,0,0,0,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
其他流动资产(万元),1059,1059,958,1557,482,984,526,1127,1957,1644,266,1478,0,8,803,2482,--,--,--,--,--,72,204,204,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
流动资产合计(万元),159459,212789,207773,221139,196599,206343,193891,187170,174607,174187,211420,104964,86403,73374,76875,71289,60897,44789,41163,41871,42449,41846,43377,43895,44214,45333,46031,48805,48412,42021,43761,45746,43746,42162,39389,40049,42651,9165,9069,7074,2579,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
可供出售金融资产(万元),12887,12895,12895,12895,9703,9703,9424,9424,9424,9416,9416,9066,9636,9636,4036,3636,3636,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
长期股权投资(万元),1548,1269,1214,1267,1111,1082,1240,1461,1666,1816,2004,2124,2261,2491,2190,2305,2557,1627,1300,1302,1286,1317,1030,1042,1059,1064,1070,1073,--,--,--,0,--,0,--,0,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
投资性房地产(万元),1140,1140,1121,1154,1168,1168,1202,1183,1202,1202,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),--,65520,--,55617,--,40341,--,40174,--,38983,--,26956,--,26433,--,26372,--,22816,--,20901,--,17859,--,17596,--,17296,--,13468,--,11407,--,11158,--,8993,--,8943,0,4950,470,421,380,
累计折旧(万元),--,17119,--,15521,--,10931,--,9885,--,8872,--,6453,--,5744,--,4959,--,4508,--,3708,--,3155,--,2677,--,2192,--,1756,--,1239,--,931,--,631,--,441,0,279,205,157,152,
固定资产净值(万元),--,48401,--,40096,--,29411,--,30289,--,30111,--,20503,--,20690,--,21413,--,18308,--,17193,--,14705,--,14919,--,15105,--,11712,--,10169,--,10226,--,8362,--,8502,0,4671,265,264,228,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,--,14,--,14,--,14,--,14,--,14,--,--,--,0,--,0,--,0,0,0,0,0,0,
固定资产(万元),42576,48401,43288,40096,28941,29411,29905,30289,30006,30111,20245,20503,20355,20690,21060,21413,18663,18294,16881,17179,14530,14690,14707,14905,14937,15090,11551,11698,11010,10169,10292,10226,10276,8362,8404,8502,5309,4671,265,264,228,
