报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),24685,26069,14904,20910,25576,9469,20223,12216,11289,9903,13797,10474,8126,9922,6743,12732,8678,14669,22548,11745,13829,27913,29176,20354,33550,50129,53593,51162,73170,82946,78928,88148,80421,5493,5194,3509,4840,5268,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,699,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收账款(万元),83292,76000,80403,74576,77898,76066,76381,78076,80760,58576,61043,63307,66308,56867,56707,59236,65289,48477,47021,55545,52420,40368,35737,43078,45707,35146,33595,39180,39803,23736,24051,28231,31649,22409,20826,30418,19255,30088,
预付款项(万元),15431,14113,5722,4849,13751,4901,6596,8339,11041,7504,5625,5410,11581,4473,1527,3227,1047,1730,5298,1680,4597,1853,4498,4601,1276,4022,1785,3190,1663,1261,807,2123,1006,1903,316,1735,2557,4073,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),17744,18664,22547,9045,10992,9269,9713,10171,10578,11177,11951,10372,21323,17349,17738,18405,5688,5229,5737,13539,2702,2056,1561,1687,2703,1171,636,1595,1362,1211,636,2223,551,744,406,1508,720,1606,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),225592,199650,201388,203481,173120,160993,139485,135050,108335,109949,103751,108664,107586,112270,113416,119134,103650,95291,89905,98952,72255,58753,71444,76114,69904,58055,73242,71443,52694,39106,50727,56379,41154,26439,30497,32254,30947,14076,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,126,157,177,411,106,153,12,97,13,0,4,20,--,550,550,550,--,2,--,121,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),14064,9500,5559,6327,9172,6738,4382,3915,2444,1885,659,1897,1497,1548,1564,2145,161,511,497,11768,4586,2180,4442,6203,85,129,394,167,142,273,373,49,2,189,674,0,0,0,
流动资产合计(万元),380809,343997,330523,319188,310636,267592,256958,248178,224551,199146,196839,200222,216435,203127,197698,214898,184513,166458,171556,193780,150390,133127,146859,152158,153225,148652,163246,166737,168836,148532,155523,177153,154783,57176,57913,69423,58318,55112,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),--,100,100,100,100,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),648,621,590,616,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),--,--,--,13163,13291,13291,13391,13291,13320,13320,13200,13200,13200,13200,13164,13164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产原值(万元),--,57264,--,55255,--,56656,--,51704,--,50403,--,49935,--,47934,--,48063,--,64829,--,64798,--,59559,--,57639,--,43469,--,36966,--,34075,--,32842,--,30611,0,30446,28041,0,
累计折旧(万元),--,18863,--,17740,--,22488,--,20916,--,19254,--,17795,--,16212,--,14903,--,18256,--,17095,--,14736,--,12911,--,11274,--,9687,--,8501,--,7368,--,6338,0,5319,3394,0,
固定资产净值(万元),--,38400,--,37515,--,34168,--,30788,--,31149,--,32140,--,31722,--,33160,--,46573,--,47703,--,44823,--,44727,--,32195,--,27279,--,25574,--,25473,--,24273,0,25127,24647,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产(万元),39213,38400,36758,37515,32794,34168,30456,30788,30585,31149,31748,32140,32054,31722,32447,33160,46147,46573,47034,47703,45692,44823,45520,44727,40297,32195,32345,27279,26100,25574,25594,25473,24060,24273,24633,25127,24647,19460,
在建工程(万元),29096,22593,17352,10217,6968,3328,5456,4787,3881,2437,1939,2230,1878,2794,2662,2032,3204,2916,2897,2300,3768,3829,3475,3229,6269,12335,7845,6352,3553,3080,1351,1051,2325,2138,1788,1471,483,3031,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,5,--,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),3878,3907,3933,3962,3977,4006,4035,4064,4079,4108,4127,4154,4178,4174,4188,4216,5619,5595,2705,2728,2749,2758,2783,2800,2821,2822,5065,2875,2901,2919,2936,2963,2974,2996,3679,3016,3082,2718,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
商誉(万元),2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2209,2214,2214,--,--,--,--,--,--,--,0,0,0,0,0,
长期待摊费用(万元),6317,6325,5824,3267,3421,3422,3033,2777,2867,2974,3137,3172,3416,3495,3765,3933,3926,3305,3308,3717,4343,4470,4734,4841,4621,4071,3908,3215,2277,1576,1382,1129,700,662,668,592,376,166,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
递延所得税资产(万元),2725,2530,2699,2735,2439,2500,2554,2557,2322,2265,2221,2223,1301,1291,1270,1291,1886,1986,1986,2042,470,471,399,512,306,306,306,306,181,181,181,181,204,127,204,204,108,80,
其他非流动资产(万元),28,45,68,240,73,80,82,193,55,56,55,56,8,9,--,--,--,--,46,46,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
非流动资产合计(万元),84212,76730,69532,74023,65272,63103,61216,60665,59319,58519,58636,59384,58244,58894,59704,60004,62991,62583,60184,60744,59230,58560,59120,58318,56527,53943,49470,40028,35016,33330,31444,30797,30314,30196,30973,30410,28696,25454,
资产总计(万元),465022,420727,400055,393211,375907,330695,318174,308843,283870,257666,255475,259606,274679,262021,257402,274902,247504,229041,231739,254524,209620,191686,205980,210476,209752,202595,212716,206766,203852,181862,186967,207950,185098,87372,88886,99832,87013,80566,
短期借款(万元),127907,109529,103508,97248,91265,79864,72890,70589,61903,49598,47224,53891,48864,51052,52192,58618,58682,52037,59457,60163,46556,28607,45631,36715,40085,29796,38827,25856,24521,2935,6569,21991,7403,18808,20618,26340,28991,29268,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付票据(万元),--,232,773,625,11,--,999,802,2163,2546,2182,3127,53,700,2815,1550,643,--,--,96,439,--,--,--,--,--,--,--,--,--,410,422,605,119,309,952,0,158,
应付账款(万元),--,19003,16997,22211,13642,22488,18609,20330,19836,11016,15247,12311,29247,24154,15136,21943,17240,5220,496,16775,545,4205,1651,11621,2459,2895,2700,7574,2611,1946,3928,10571,4372,6678,6848,11997,12991,9288,
预收账款(万元),7314,4904,5494,2921,4447,3372,4201,2906,4664,4285,3496,2246,3799,2619,803,2968,22,2373,1341,2008,1959,1413,1545,2730,142,1152,56,1271,28,6,16,1043,153,773,303,852,847,581,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付职工薪酬(万元),2136,2038,1788,2017,1672,1541,1611,1679,1383,1395,1437,1315,1247,1120,714,1536,1369,1265,1232,1334,1287,1104,1056,1218,1299,1062,965,982,938,667,567,638,334,398,254,24,4,357,
应交税费(万元),3046,2880,6500,1530,425,302,676,631,1250,175,604,716,8,6,1886,2172,-2211,-1481,578,1972,475,178,342,382,-5183,-4424,-6008,-8010,-4774,-693,-1760,-4969,-3953,-192,-1310,-3010,-2932,-1929,
应付利息(万元),--,1356,997,791,240,--,44,141,--,--,--,61,--,--,--,36,105,104,58,146,--,69,330,330,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
