报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),13113,10649,9305,19784,2962,12098,16725,10131,11417,7434,5696,33406,4195,5096,5966,4475,9332,
结算备付金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),15748,15696,11344,9422,10922,8276,4325,8266,13141,11237,6747,8713,10525,9314,7907,9586,8162,
应收账款(万元),37623,33926,27000,27487,25160,19966,17779,16467,14595,16150,16087,16076,14370,17084,13907,13480,12545,
预付款项(万元),4209,2808,6831,3556,6445,3659,4268,2851,2377,977,2879,2511,483,2127,1871,718,1317,
应收保费(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),141,153,1186,1166,14562,8526,79,85,95,62,42,7,708,673,1027,864,194,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),21878,19324,20466,17119,15555,11068,13667,11700,10937,10263,13047,12704,15120,14028,11387,11890,9345,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),10037,15037,20429,20000,0,1500,1500,10000,8000,11044,13000,--,506,--,--,--,--,
流动资产合计(万元),102751,97593,96561,98534,75607,65093,58344,59500,60562,57168,57499,73416,45907,48322,42064,41013,40895,
发放贷款及垫款(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),300,300,14540,14520,0,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),14592,14979,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,55831,--,46289,--,46268,--,45750,--,40802,--,35796,35664,32170,30772,28253,20205,
累计折旧(万元),--,13982,--,12544,--,11221,--,10348,--,9521,--,8744,7711,7249,5876,4302,3202,
固定资产净值(万元),--,41849,--,33745,--,35047,--,35403,--,31280,--,27052,27953,24921,24897,23951,17003,
固定资产减值准备(万元),--,4,--,4,--,4,--,4,--,5,--,5,5,5,5,6,56,
