报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),22188,35262,19596,20985,25526,27675,55387,27456,45864,24102,21946,27321,45827,76145,76523,78047,81526,90431,91126,96149,98338,101788,104181,108201,111056,117566,123568,127880,135850,3970,6160,3228,1678,622,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),9099,11214,7275,8159,11722,6304,4516,9110,5950,6922,7472,5551,7014,6566,4608,4333,5103,4407,3063,4620,5029,4678,4039,1855,4600,4184,4210,4401,2378,983,1011,202,249,34,
应收账款(万元),28323,21126,21953,22507,18054,18585,19696,18626,17048,14191,16430,15531,7714,6747,6914,8058,5730,3849,5806,5415,6438,5378,6123,5939,5283,3468,3447,4715,5921,4083,3257,2192,1231,1242,
预付款项(万元),2281,2925,2362,1268,1156,1576,1776,1614,942,1026,768,935,1028,1187,2076,2420,2883,1550,1276,887,740,448,4243,2698,3089,3559,4813,4126,2174,2915,1454,1142,1051,452,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),42,39,37,13,16,23,28,26,73,76,42,96,748,775,548,1286,809,495,209,445,5040,4460,3829,3219,3098,2368,1480,762,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),695,225,402,238,314,129,1408,2450,960,914,950,1128,1849,1839,2134,2093,2115,144,184,196,198,109,250,297,300,181,115,107,84,138,56,19,2616,435,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
