报告日期,2017-09-30,2016-12-31,2015-12-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),4650,16367,14262,20645,14581,4809,5608,4202,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),505,451,303,136,870,1304,804,200,
应收账款(万元),17373,7664,5083,6860,6433,6255,4699,2884,
预付款项(万元),739,825,131,536,521,337,175,150,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),952,484,407,231,75,58,17,28,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),8642,2432,2811,1942,1702,1041,877,641,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),788,75,--,156,329,--,--,--,
流动资产合计(万元),33648,28298,22997,30506,24511,13803,12179,8106,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),76,94,119,143,149,168,192,216,
固定资产原值(万元),29473,18199,6846,5772,5580,4729,3907,3430,
累计折旧(万元),4718,3653,3023,2535,2432,2130,1833,1497,
固定资产净值(万元),24755,14547,3823,3238,3148,2599,2074,1934,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),24755,14547,3823,3238,3148,2599,2074,1934,
在建工程(万元),--,3416,8784,544,43,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),2536,2588,2648,2584,2603,2477,341,324,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),4,14,101,102,142,101,18,18,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),--,--,--,--,--,--,--,--,
其他非流动资产(万元),--,--,--,--,--,--,--,--,
非流动资产合计(万元),27371,20659,15475,6612,6085,5344,2624,2492,
资产总计(万元),61019,48956,38472,37118,30596,19148,14803,10598,
短期借款(万元),7000,10,100,2600,100,1000,300,200,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,
应付账款(万元),14931,8492,4835,3449,2056,1938,1357,850,
预收账款(万元),75,64,18,22,143,70,18,68,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),550,363,360,456,256,283,--,--,
应交税费(万元),696,475,124,1098,368,300,398,169,
应付利息(万元),--,--,--,--,--,--,--,--,
应付股利(万元),11,--,--,--,--,--,1500,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),601,238,422,292,181,124,149,73,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),23863,9641,5859,7917,3103,3715,3722,1360,
长期借款(万元),1465,5983,2426,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,
非流动负债合计(万元),1465,5983,2426,0,--,--,--,--,
