报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
货币资金(万元),15923,21733,18572,19920,26242,27724,16694,19706,20313,25714,32514,10886,19768,24937,21394,21945,17415,21160,17944,18833,17172,20023,18141,27233,23949,48441,32250,41691,44776,50793,54588,77646,14254,23829,14631,13094,15093,15909,15514,16043,14368,22292,16934,18941,22417,27120,23480,6967,7091,4425,4397,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,--,
应收票据(万元),315,491,223,255,156,637,342,598,433,911,212,357,430,586,1130,384,1002,1171,481,287,476,639,287,324,319,830,42,268,169,101,125,291,258,730,746,359,602,54,216,47,38,93,48,39,132,60,50,60,24,35,133,
应收账款(万元),19832,21432,20446,21847,20092,20297,23252,24862,23688,24161,28259,28624,28919,27803,26612,25682,27141,35870,38155,32654,31073,30040,32666,33232,33322,27891,38475,31553,24874,24510,29998,25174,21909,19403,15331,17380,15103,17381,14898,16335,14223,11486,10099,9013,7465,7155,6441,5993,6113,7268,5383,
预付款项(万元),1811,1397,2974,2507,4187,2054,3489,2146,1682,1360,3524,3789,3275,1343,1183,1788,1764,2075,2020,2143,1422,982,3292,4033,4754,2889,7491,4681,2154,1266,4020,1875,2615,823,1391,1614,1303,867,696,929,2824,2595,1959,2860,2478,3562,1049,254,65,152,338,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,0,--,--,--,0,0,0,0,
