报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),1816,62,101301,106063,100688,115977,62490,3450,1289,2142,9830,18447,22744,25012,25125,2418,3638,2641,3510,5181,6901,5784,10140,13911,15964,21374,3714,687,1276,8,7,18,585,255,224,322,625,477,501,1237,1523,1466,8615,8984,1631,2122,1746,4479,2332,2996,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
衍生金融资产(万元),--,--,1152,1138,2634,4046,7826,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
应收票据(万元),784,1028,2037,3241,2131,1616,1855,1987,1640,707,1124,1163,236,1386,1227,958,4187,4870,3816,2534,6305,7376,1631,1178,1221,23,2733,1981,799,249,638,150,2500,4889,2450,2124,1062,493,448,0,2,34,283,30,650,120,489,553,441,704,
应收账款(万元),10293,8206,83866,84230,48254,63956,178739,17620,17094,20018,11180,5317,3557,3748,4835,3568,2059,1290,1636,3147,1416,1379,6649,2463,1699,2077,1922,2552,984,1022,1074,987,1042,1032,1260,1349,1286,1306,1602,2299,9652,7872,8710,8933,9142,7216,15222,12945,15240,14588,
预付款项(万元),216,1308,3135,2886,27427,21510,58256,13319,8753,3959,6727,2405,191,128,6,767,428,411,785,432,401,697,734,1257,843,453,1994,1413,1455,893,5336,3707,6223,7323,3430,5136,4555,2795,3171,2512,2253,2379,9983,9560,9051,9145,9648,8387,7447,9115,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
应收利息(万元),--,--,1024,1009,627,747,474,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,6,--,--,--,--,--,--,--,0,0,
其他应收款(万元),--,114,--,162891,233908,187772,39526,230,214,226,156,135,529,49,186,685,370,744,700,678,1170,946,964,3986,1625,1309,155,175,464,970,2736,809,858,668,1522,5317,5348,5101,5185,5413,5246,5253,3599,3159,4290,3341,8685,8932,8383,6714,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
存货(万元),4577,4139,6110,7123,14553,14998,5677,4242,4084,4787,3483,1423,1450,854,937,9976,9454,10550,11188,11384,8561,8333,11491,13303,7459,6182,8537,8344,7280,8930,11616,15005,13610,13736,12227,14187,12409,12926,13579,14064,15998,17292,21656,15034,15325,14764,13415,14774,16145,16011,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,242,203,103,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,74,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
其他流动资产(万元),167,341,26502,29456,39114,16531,12741,95,88,3687,87,89,52,21,--,--,--,--,106,278,997,1187,--,--,--,--,236,236,250,250,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
流动资产合计(万元),18894,15199,373631,398037,469335,427153,367585,40944,33162,35525,32587,28980,28760,31198,32317,18372,20136,20507,21742,23636,25753,25702,31609,36097,28811,31493,19291,15388,12508,12322,21407,20676,24818,27902,21112,28436,25286,23098,24485,25525,34680,34298,52846,45700,40090,36708,49446,50272,50092,50128,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,0,0,
