报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),3973,6135,7344,7711,26277,13432,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),13272,14111,10891,7536,9115,13611,
应收账款(万元),23609,20932,24096,21588,23724,17555,
预付款项(万元),6179,1460,2739,4029,3892,2300,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),78,236,202,93,18494,20574,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),9868,13703,10732,11365,8042,8500,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),18400,621,1458,1802,1200,--,
流动资产合计(万元),75379,57198,57462,54123,90744,75973,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,--,79778,71555,61580,--,
累计折旧(万元),--,--,18292,13634,13155,--,
固定资产净值(万元),--,--,61486,57921,48425,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),57926,59603,61486,57921,48425,18279,
在建工程(万元),3943,3002,1278,1385,1196,10956,
工程物资(万元),--,79,108,389,877,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),6261,6314,6419,6637,5832,5995,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),197,210,234,196,228,48,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),300,255,283,143,279,253,
其他非流动资产(万元),--,--,--,--,--,--,
非流动资产合计(万元),68627,69463,69808,66671,56838,35531,
资产总计(万元),144006,126660,127270,120794,147583,111504,
短期借款(万元),4700,35017,37250,38410,33549,33365,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),860,860,1945,2100,20800,8800,
应付账款(万元),7090,6336,8389,8182,6561,3529,
预收账款(万元),872,876,933,540,1635,1389,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),858,726,751,676,662,459,
应交税费(万元),719,718,766,1821,2830,2476,
应付利息(万元),6,64,107,88,94,63,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),1034,393,297,322,16953,9431,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,4500,4000,660,700,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),16139,49490,54439,52800,83784,59512,
长期借款(万元),4000,4000,6000,12340,13900,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),969,986,879,934,733,807,
递延所得税负债(万元),--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),4969,4986,6879,13274,14633,807,
负债合计(万元),21108,54476,61318,66073,98417,60319,
实收资本(或股本)(万元),20000,15000,15000,15000,4100,4100,
资本公积(万元),60986,18684,18684,16367,20034,28482,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),59,172,238,337,492,838,
盈余公积(万元),1699,1699,1699,890,2050,1782,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),40154,36630,30331,22127,22489,15983,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),122898,72185,65952,54721,49166,51185,
少数股东权益(万元),--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),122898,72185,65952,54721,49166,51185,
负债和所有者权益(或股东权益)总计(万元),144006,126660,127270,120794,147583,111504,		
  
