报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),215168,210297,271714,249960,236255,168880,237640,402162,152111,128679,166776,183477,77472,56723,41883,50054,91309,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,290,400,--,--,--,
应收账款(万元),26645,25842,22784,25326,19591,22386,15595,21073,18712,22352,14886,19127,12671,13756,16416,10136,7375,
预付款项(万元),36559,24732,36442,31792,32545,22388,25047,42792,12412,9383,10577,7801,7533,7189,4081,4509,4318,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),11,12,144,67,74,77,86,--,139,74,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),124455,105590,166971,128082,149307,109580,118855,145819,86570,106686,94357,88698,83728,50993,58473,65710,46784,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),9963,8975,8534,7286,7002,6766,6859,6132,4993,4432,4549,3743,3648,3234,3246,2632,2609,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),419,419,27003,27003,27003,37109,21609,14609,109,1122,122,122,122,3,3,3,3,
其他流动资产(万元),12047,21427,19553,9206,11274,10124,5772,8804,10063,5413,4734,2601,7165,13353,8896,9721,--,
流动资产合计(万元),425266,397293,553144,478721,483051,377309,431462,641390,285110,278141,296002,305570,192630,145650,132998,142764,152398,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),14481,14688,9990,9324,9327,9254,9000,9000,9000,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),1755,1811,2164,500,452,458,267,719,841,949,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,1338688,--,1247231,--,937224,--,833824,--,650677,527465,526088,489133,491003,491124,417341,227194,
累计折旧(万元),--,214827,--,182078,--,152933,--,136807,--,111443,103995,96404,82783,70754,57418,33303,16254,
固定资产净值(万元),--,1123861,--,1065153,--,784291,--,697017,--,539235,423470,429684,406351,420249,433706,384038,210940,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),1109673,1123861,1145115,1065153,1051002,784291,788995,697017,563956,539235,423470,429684,406351,420249,433706,384038,210940,
在建工程(万元),446378,402338,371057,415790,279098,497568,439519,456576,501944,436919,417998,315915,143990,53164,13961,49461,101191,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),10619,10128,9598,2738,2663,2307,2313,2321,2099,2141,2057,1716,877,815,734,415,367,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),68546,65674,63757,61966,62680,60054,59346,56124,53565,53418,50474,47542,43874,75267,44835,35311,37937,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),714,734,663,647,659,659,693,810,841,709,795,975,3446,1684,2145,1619,1393,
其他非流动资产(万元),6647,7165,2042,8624,2044,3845,18106,15393,29921,28945,1972,2000,2054,45,47,717,53,
非流动资产合计(万元),1658812,1626398,1604385,1564742,1407924,1358436,1318239,1237961,1162167,1062317,896766,797831,600592,551226,495429,471561,351881,
资产总计(万元),2084078,2023691,2157529,2043463,1890974,1735746,1749701,1879351,1447277,1340457,1192768,1103400,793222,696875,628427,614325,504279,
短期借款(万元),258811,249008,324727,346510,330474,276182,233506,361960,377633,318584,267807,234857,143318,93829,46277,92948,94389,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),1297,6058,7551,6617,10431,10963,4938,3214,5170,6465,4111,1326,5084,2727,--,2127,5650,
应付账款(万元),96613,94599,97948,93491,85921,79154,83692,75525,57355,50635,61170,56752,49027,50425,48177,30315,27843,
预收账款(万元),46684,60152,60853,63097,43636,68745,46252,48303,40413,63842,39776,34282,36114,25043,35204,19940,18787,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),12579,22521,11989,10747,9899,18085,9829,7764,7847,13236,7565,6155,10677,4456,6489,4856,4636,
应交税费(万元),70507,52906,53236,32209,45887,35267,28911,18688,36738,30260,23912,30710,18946,11258,12309,12504,24667,
应付利息(万元),1308,1475,1516,1263,1625,1107,1579,1654,1655,2182,1647,716,778,870,925,1444,390,
应付股利(万元),--,--,--,--,--,--,32090,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),24153,23415,19738,17318,16547,15994,20892,23002,18100,20107,14894,12039,11332,8717,7366,6051,4757,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),69326,58111,50254,50982,45976,102598,121475,183264,145216,122309,64537,27419,13701,905,2145,7088,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),581279,568244,627812,622234,590397,608094,583162,723374,690125,627619,485419,404255,288976,198230,158891,177274,181118,
长期借款(万元),515846,499647,574134,532797,414788,291852,305144,326513,288657,298128,253407,304538,225529,224845,232184,200090,101813,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),63982,76759,84271,82406,67058,61499,85339,78354,76296,67914,75533,62215,65580,69352,72151,101041,78720,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,500,--,--,--,--,
长期递延收益(万元),946,693,501,392,478,792,602,596,--,474,646,609,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,1968,--,1456,--,--,--,511,--,--,--,721,1043,2444,3028,1445,
非流动负债合计(万元),580773,577099,660873,615595,483780,354143,391085,405463,365464,366517,329586,367362,292330,295239,306779,304159,181977,
负债合计(万元),1162052,1145343,1288685,1237829,1074177,962237,974247,1128837,1055590,994136,815005,771617,581306,493470,465670,481433,363096,
实收资本(或股本)(万元),179701,179701,179701,179701,128358,128358,128358,128358,113600,113600,56800,56800,50000,50000,50000,50000,50000,
资本公积(万元),324236,324236,324236,324236,375272,375272,375272,375454,56721,56649,113512,113512,48899,48899,48899,48899,49105,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),48889,48889,36760,36760,36760,36760,25055,25055,25055,25055,14064,14064,14064,11249,8870,5393,5227,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
