报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),57113,49900,38170,56066,45793,37686,37461,38115,43608,42629,72964,59365,84387,85819,95472,111577,88503,76121,78020,153750,173831,160623,191473,231523,221339,260276,255846,247615,269644,255968,258003,262274,22089,28635,12603,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
交易性金融资产(万元),142444,30503,183,262,297,57,--,35,38,97,42,10767,11385,12213,37436,31219,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收票据(万元),14939,15541,14355,10125,13364,16703,16318,10890,13660,15191,17965,11999,15444,18069,17193,10405,12650,20429,21195,15411,22131,24632,21386,19842,21369,22878,17039,18048,17659,16893,14298,11101,7657,750,0,
应收账款(万元),15832,17849,14023,15760,15633,14976,13643,14104,12549,15185,13588,14451,14883,16211,13674,14358,15241,17610,20471,20868,18365,18227,22736,26085,27976,24427,23632,17918,14110,11878,5276,5849,7788,9088,6095,
预付款项(万元),3931,4100,4075,8931,2141,2749,3317,7075,2513,2255,3005,5852,1936,2527,2279,6362,1343,2090,2395,5421,2187,4117,3523,6435,4956,2848,14580,24598,24429,26543,31151,33669,13789,2782,2040,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收利息(万元),488,461,510,482,425,486,440,386,453,373,338,392,308,330,275,168,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收股利(万元),--,--,--,1116,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
其他应收款(万元),--,1873,--,2102,1637,1596,1817,1898,1947,1881,1878,2157,1808,1673,1936,1538,1419,1462,2717,2280,1853,1704,2255,2174,1942,1644,2004,1676,1478,1193,1523,1744,915,806,772,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
存货(万元),75389,80647,82612,62260,62026,73895,76432,61546,63650,73649,72052,56380,54083,58434,60065,50511,52974,59338,65467,60754,58032,62504,70139,58840,58395,64988,77890,62057,62410,72221,68497,44788,44861,33448,36969,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,
