报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),203402,78345,47474,52165,126926,63336,73453,89276,284684,421231,42067,441599,46922,65044,51982,54724,56552,38395,31306,10236,33025,42772,29001,49189,90058,114280,160511,179607,247661,17537,27349,16018,14468,9255,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
交易性金融资产(万元),165,167,169651,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,30,29,31,36,--,0,0,0,137,0,
衍生金融资产(万元),18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收票据(万元),104106,79438,153349,171474,160628,51775,93025,64704,40973,79141,40945,61565,106959,70961,123272,123805,107585,61272,40315,43084,32616,49068,53229,54137,44537,46860,52877,37331,32268,19274,15023,3199,3578,5520,
应收账款(万元),11995,8873,17369,13046,14713,14709,11886,7726,11251,10564,16460,9392,9390,3844,12582,11856,10665,6296,6898,6502,6496,2333,7142,6580,5622,4544,5069,4382,4298,3141,7997,7243,9847,3445,
预付款项(万元),6786,4009,10967,17452,25599,21766,19904,13370,7661,6020,20505,23327,24348,19421,56173,59336,53207,31813,47558,57522,52976,50155,86536,67841,62132,36183,59717,36999,30767,23230,28896,12354,28209,16759,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收利息(万元),14,4,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),--,--,--,351,--,--,--,--,--,--,--,425,--,--,--,--,700,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),11220,4327,228765,242507,222004,231747,227588,228038,228390,54420,27072,74404,53867,53083,3064,2619,4364,3483,1400,977,1300,1150,1530,1823,2182,1452,3103,1542,2802,1496,1458,1046,548,13778,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
买入返售金融资产(万元),246,165,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
存货(万元),37477,45880,36611,35448,37794,44423,26810,19105,25014,25131,17817,22400,30600,30803,33630,32173,37014,31690,20194,21073,23584,22564,22012,22631,33291,29963,34079,36745,29479,27707,17839,10819,12008,12471,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),5272,31683,3855,3129,3459,2337,9477,15003,24425,28925,33318,34684,36818,38117,3307,1675,2590,2493,2433,2777,2737,2157,1841,6214,2363,3087,7790,4966,3155,643,1657,952,2615,189,
流动资产合计(万元),380700,252891,668040,535572,591123,430093,462143,437223,622399,625433,208811,678423,319533,291900,284011,286188,272676,175442,150103,142170,152734,170198,201291,208446,240215,236398,323177,301609,350429,93027,100219,51631,71411,61418,
发放贷款及垫款(万元),1747,642,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
可供出售金融资产(万元),27615,26005,24349,18437,23372,24277,25022,26872,26721,28202,26412,27425,23996,24975,30052,9126,9100,7554,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),576989,559282,547127,531789,535311,523460,515966,504464,521589,516549,505405,51947,46502,36509,31180,44165,36626,35016,36312,36402,35651,36793,34601,35392,35393,36644,17231,18462,18127,17728,11843,12115,11701,54,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产原值(万元),--,1195205,--,1103699,--,1087018,--,1077228,--,1051555,--,807496,--,806883,--,805081,--,657599,--,467839,--,466949,--,440808,--,399447,--,380994,--,351602,--,197724,0,--,
累计折旧(万元),--,436945,--,394675,--,352296,--,311519,--,257009,--,234243,--,200565,--,186849,--,159298,--,141702,--,125489,--,109556,--,94964,--,82157,--,68925,--,46240,0,--,
固定资产净值(万元),--,758260,--,709024,--,734722,--,765709,--,794546,--,573253,--,606318,--,618232,--,498301,--,326137,--,341460,--,331252,--,304483,--,298837,--,282677,--,151484,0,--,
固定资产减值准备(万元),--,1403,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
固定资产(万元),735044,756857,690280,709024,728787,734722,746766,765709,784877,794546,812773,573253,589904,606318,625035,618232,624869,498301,318866,326137,332976,341460,336752,331252,297699,304483,289593,298837,295017,282677,280980,151484,148139,155382,
在建工程(万元),21228,19863,99602,68126,49222,42312,34092,26727,23454,31429,25216,255704,233257,195286,95983,84129,74239,207493,348744,278242,225528,203014,142075,118862,112134,97397,46353,26971,22587,38272,20622,149755,42588,2520,
工程物资(万元),592,594,1348,11194,1693,1243,1342,1517,1262,1279,1642,2644,4058,33345,60333,27262,14960,5369,5644,16916,10900,5096,4481,2656,4224,3623,3127,2477,1274,1361,1211,4784,1057,98,
固定资产清理(万元),3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,97,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),47120,47564,37555,37841,37504,38026,38509,38898,39012,39411,29925,28546,28761,29082,33257,33569,33736,33904,26919,27019,27118,27263,29003,29148,28540,27093,27256,27093,22672,22817,22120,22535,18793,17273,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
商誉(万元),1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,1186,
长期待摊费用(万元),2883,2924,2964,3060,3188,3316,3697,4077,4457,4837,4132,4439,4775,5111,3247,3800,4032,4272,6716,4506,5631,5121,5229,5542,6148,6109,1457,1464,1476,1106,653,36,49,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
递延所得税资产(万元),972,965,820,824,806,806,556,555,563,572,427,465,693,691,288,283,254,254,182,183,166,168,0,0,0,0,2,1,12,12,0,122,165,0,
其他非流动资产(万元),672037,569639,2870,2870,2870,3752,3553,3803,4224,4262,1430,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,30,30,0,
非流动资产合计(万元),2087416,1985521,1408101,1384351,1383939,1373101,1370689,1373809,1407345,1422274,1408547,945610,933133,932503,880560,821752,799002,793349,744568,690591,639155,620102,553328,524039,485324,476536,386205,376492,362352,365160,338614,342047,223708,176611,
资产总计(万元),2468116,2238411,2076141,1919922,1975062,1803194,1832831,1811032,2029744,2047707,1617358,1624033,1252666,1224403,1164571,1107940,1071678,968792,894671,832761,791889,790300,754620,732485,725538,712934,709382,678101,712782,458187,438833,393677,295119,238029,
短期借款(万元),221600,96000,--,--,94000,--,--,20500,104100,103600,135600,134600,127600,112600,81000,55000,45000,45000,13000,10000,11000,12000,2000,2000,1100,100,2050,3000,8121,17061,12262,22721,54676,16840,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融负债(万元),--,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付票据(万元),14602,15256,13865,47886,48905,13169,12728,12408,48780,55314,57256,85357,67885,84455,84708,71928,70084,35328,21368,20634,11673,15650,14603,11438,16463,18181,15579,7729,3855,4604,9585,19082,2762,12401,
应付账款(万元),165153,131323,111320,110642,105242,106300,107228,105697,127452,138226,147244,144811,133253,139781,119163,110399,103868,97963,99824,88901,63130,68949,69542,61184,49629,43875,32394,31161,30788,34555,29375,42729,23668,31809,
预收账款(万元),19153,31667,42631,33363,35717,26250,29490,11739,13104,17388,9612,12720,12804,9310,22612,14566,19753,13919,11405,11271,9114,11375,13490,10202,11304,13203,14371,10736,14793,10395,12966,10175,4326,9511,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付职工薪酬(万元),3833,5687,4384,4092,3540,3509,5111,4043,3553,2902,4715,4436,3681,2958,5433,4807,4300,6198,5221,4347,3303,3217,4661,4608,3563,2747,4193,3381,2677,3650,3287,2462,1549,1036,
应交税费(万元),24507,19151,18795,11478,16220,15474,7299,7409,7556,8996,9515,7583,8064,7350,-24617,-22277,-25509,-24738,-24572,-25520,-16410,-18841,-13103,-10335,-11923,-14410,369,-3059,-4505,-14028,-5113,-16125,1859,2615,
应付利息(万元),6265,3892,5714,3460,6091,3731,5692,3480,6008,3868,3805,2176,1427,941,2299,1873,1623,890,2122,1590,1160,705,495,504,583,563,547,547,672,734,914,865,1384,0,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,5191,--,--,--,--,5537,--,--,--,6400,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
其他应付款(万元),7339,8634,8220,8914,9439,8204,11081,10046,8850,8592,4321,4775,4820,4611,5126,5145,6486,3654,5358,5609,6283,5471,6324,5508,5098,5222,5102,4328,4157,3883,3895,3713,2120,1487,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
一年内到期的非流动负债(万元),149825,149707,74839,74778,--,25846,38458,50878,--,13000,29987,29963,29939,29915,9000,9000,9000,9000,--,--,--,--,--,--,--,--,--,--,--,0,0,6400,0,0,
其他流动负债(万元),126,696,723,4388,4372,3675,76262,74904,146723,144469,72210,71491,1087,799,442,898,958,586,857,478,605,655,496,547,194,534,1717,1889,409,370,1877,0,0,0,
流动负债合计(万元),612404,462045,280491,299002,323525,206157,293349,301106,466127,496356,479456,497912,390560,392720,305166,256877,235563,187801,134582,123711,89858,99182,98507,85656,76011,70015,76323,59712,60968,61224,69049,92020,92344,75699,
长期借款(万元),180000,180000,180000,75000,75000,75000,75000,75000,24600,24600,176000,176000,189397,172397,181397,192087,196087,160087,155590,117590,121190,119190,125110,127690,136490,137190,137190,137190,190587,240587,240587,193987,114000,95000,
应付债券(万元),--,--,74749,74692,149357,149247,149134,149024,148918,148813,74394,74341,--,--,29892,29870,29847,29825,29804,29783,29762,29741,--,--,--,--,--,--,--,0,0,0,0,0,
长期应付款(万元),--,--,--,--,--,--,--,--,138056,153860,164530,175112,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
专项应付款(万元),--,--,--,--,--,--,--,--,500,--,11647,7347,6747,6447,6147,5104,5000,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
预计非流动负债(万元),396,389,383,377,370,362,357,351,346,340,335,329,323,318,313,307,302,297,292,287,282,278,272,268,264,259,255,251,247,243,243,221,0,0,
长期递延收益(万元),5214,5340,5217,4481,4605,4728,4397,4511,2207,2223,1325,1843,1861,1379,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,1397,1416,1434,1452,970,989,1007,1025,1043,1061,1080,1097,1003,1019,917,930,942,980,0,0,
非流动负债合计(万元),185610,185730,260349,154550,229333,229337,228888,228887,314627,329837,428230,434971,198328,180541,219146,228783,232670,191661,186656,148649,152240,150233,126425,129019,137833,138546,138449,138460,191751,241760,241772,195188,114000,95000,
负债合计(万元),798014,647775,540840,453552,552858,435494,522236,529992,780754,826193,907686,932883,588889,573261,524313,485659,468233,379462,321238,272360,242099,249415,224933,214675,213844,208562,214772,198172,252720,302983,310821,287208,206344,170699,
实收资本(或股本)(万元),843802,843802,843802,843802,843802,843802,843802,421901,421901,421901,368640,204800,204800,204800,204800,128000,128000,128000,128000,128000,128000,128000,128000,128000,64000,64000,64000,64000,64000,52000,52000,52000,52000,52000,
资本公积(万元),27453,27454,27427,27405,22807,22785,22650,444500,444534,444484,4887,168469,168469,168469,171816,249308,249146,248707,245435,245435,245435,245435,245381,245420,309217,309163,309163,309163,309162,29555,29556,29569,29567,0,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
专项储备(万元),1285,1184,1054,1057,898,1007,1275,1010,1160,946,569,660,796,699,480,886,1373,1113,1244,1263,1112,968,592,636,316,116,161,155,471,664,1519,603,516,0,
盈余公积(万元),39863,39863,32795,32795,32795,32795,27053,27053,27053,27053,21762,21762,21762,21762,14925,14925,14925,14925,11510,11510,11510,11510,8740,8740,8740,8740,6243,6243,6243,6243,3302,3302,740,0,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
未分配利润(万元),738637,660605,613820,562171,523141,469740,416204,388411,354285,325529,314278,294397,270186,255026,245178,225956,206555,193040,183692,170631,160184,151634,143946,131901,125634,118544,111177,96853,76548,63135,38023,17468,4669,14031,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,146,147,145,-20,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
归属于母公司股东权益合计(万元),1654520,1574875,1519419,1465174,1420996,1366889,1309779,1280223,1248155,1220660,707676,688882,661361,648634,637346,619222,600144,585765,569881,556840,546241,537547,526659,514697,507907,500562,490744,476414,456424,151597,124399,102941,87492,66032,
少数股东权益(万元),15582,15761,15882,1196,1208,811,815,816,835,854,1997,2268,2417,2508,2913,3058,3301,3565,3552,3561,3550,3338,3028,3114,3787,3810,3866,3515,3638,3608,3614,3528,1283,1299,
所有者权益(或股东权益)合计(万元),1670102,1590637,1535301,1466370,1422204,1367700,1310595,1281039,1248990,1221514,709673,691150,663778,651142,640258,622280,603445,589330,573433,560401,549791,540885,529687,517810,511694,504373,494610,479929,460062,155204,128013,106469,88775,67331,
负债和所有者权益(或股东权益)总计(万元),2468116,2238411,2076141,1919922,1975062,1803194,1832831,1811032,2029744,2047707,1617358,1624033,1252666,1224403,1164571,1107940,1071678,968792,894671,832761,791889,790300,754620,732485,725538,712934,709382,678101,712782,458187,438833,393677,295119,238029,		
  
