报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),84628,131775,89597,110806,95976,136442,100264,108441,98759,109756,93829,136511,124153,138837,190327,230159,241525,262175,326644,260728,272052,336839,363414,436806,331137,356320,349719,348730,462539,554024,523747,507128,341454,309849,246768,201424,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),740,740,461,--,--,--,--,--,1,1,--,7,7,11,--,--,--,--,--,--,--,--,--,--,20,124,18,166,95,310,46800,11800,4100,6100,52399,50000,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),131431,114228,84251,73578,63434,57833,57143,55564,49412,55140,77935,80993,92153,92100,98294,103602,107278,120715,138417,155696,127236,138266,150643,150923,155524,156589,158205,120512,112030,107782,128767,122149,99401,87415,73482,64514,
应收账款(万元),250879,249411,220504,240102,236767,232095,271330,268614,269278,246772,250379,233372,229605,217020,256177,250943,240206,230317,213759,216864,195105,174131,174306,161504,158795,157606,161486,152921,150803,140117,143325,144491,133160,124865,117398,85199,
预付款项(万元),155065,114649,165596,132738,116584,103252,90458,84965,93513,86417,115095,145240,99481,97672,136445,130211,121114,112135,135538,125538,130331,148652,175533,178674,182804,158755,157414,136895,124003,124744,109174,89528,105020,109409,112863,83564,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),1,3,5,5,363,363,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收股利(万元),2039,1739,2542,745,745,745,745,745,745,353,1764,1764,353,--,951,1940,1901,1901,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),3731,4601,5256,5282,4956,3918,6334,5608,4443,3268,3507,2383,2456,1051,3755,2666,3539,1177,2267,2044,1850,917,2097,1889,2291,1358,2648,2546,2577,1781,1874,1122,2346,2539,1873,2328,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),188784,189523,153330,145848,159112,147955,162479,150929,160725,163627,169814,130552,140339,149195,122541,117902,128897,153419,117882,127899,158533,180685,166232,175245,172615,150089,127822,120231,105890,98333,103786,102425,96872,106523,111026,73605,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),18193,17808,13493,13108,12338,12338,7483,7522,7380,7532,2001,2001,2001,2001,567,567,--,--,--,--,--,--,--,--,--,--,1680,1680,1680,1680,--,0,0,0,0,0,
其他流动资产(万元),407034,433893,489088,429012,458411,478583,440882,419066,460766,465291,480351,436878,430137,476099,382832,318471,319080,317530,232340,246600,308750,277800,234675,145500,303768,276893,246230,206700,131890,55000,--,0,0,738,0,0,
流动资产合计(万元),1242525,1258371,1224123,1151225,1148687,1173524,1137119,1101454,1145022,1138156,1194986,1169701,1120684,1173985,1191889,1156462,1163541,1199370,1166846,1135370,1193856,1257290,1266899,1250542,1306954,1257734,1205222,1090381,1091507,1083772,1057474,978642,782353,747438,715810,560633,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
可供出售金融资产(万元),113488,68977,38513,38567,38852,8832,49134,49291,26354,26312,40206,48381,64017,32208,10359,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,4600,3230,32730,32730,31500,32730,3730,3730,1230,1230,1230,1230,--,--,--,--,1680,1680,1680,0,0,0,
长期应收款(万元),749,1456,6229,6647,7344,7458,11853,11748,11819,12123,4759,5041,5119,5139,5124,5124,4029,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),22283,21898,22920,24264,22981,22053,21442,21074,20391,20084,19300,17888,17672,17223,16601,20684,21097,16881,16225,16585,16746,16521,31263,16358,13494,11233,10703,10068,2936,517,581,561,600,651,297,297,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产原值(万元),--,276294,--,278285,--,277723,--,281310,--,260624,--,253598,--,245362,--,231282,--,231194,--,235329,--,205345,--,152753,--,135107,--,117023,--,114068,--,107740,0,105279,80794,0,
累计折旧(万元),--,150120,--,143698,--,133456,--,125184,--,113881,--,105160,--,94204,--,87625,--,78423,--,71330,--,63949,--,57922,--,52952,--,48516,--,44292,--,41475,0,39165,33910,0,
固定资产净值(万元),--,126174,--,134587,--,144267,--,156125,--,146743,--,148438,--,151158,--,143657,--,152770,--,163999,--,141395,--,94832,--,82155,--,68507,--,69776,--,66265,0,66114,46884,0,
固定资产减值准备(万元),--,6059,--,4935,--,5133,--,1157,--,1229,--,1014,--,1016,--,880,--,880,--,922,--,969,--,975,--,993,--,983,--,991,--,1070,0,1212,1235,0,
固定资产(万元),153573,120114,124380,129651,134238,139134,149713,154968,140074,145514,149748,147423,145243,150142,154516,142776,147314,151890,157933,163077,136544,140426,97895,93857,79445,81162,70729,67524,68113,68784,67578,65195,64740,64902,45649,33609,
在建工程(万元),22873,52137,46981,46852,45179,45463,22709,22674,41825,40480,20656,20561,13305,13257,12645,26664,26566,26560,31458,26094,48464,22028,39549,39171,52836,52735,42055,34241,20431,20963,2372,6154,8729,8973,26614,9502,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),21746,22950,21769,22698,23757,21965,22375,22531,22449,22343,23878,17994,18190,18387,18550,18684,18892,19081,19110,19238,19443,19477,19680,19414,19535,19724,19871,19940,20109,20173,19796,19961,19977,20084,19708,5363,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
商誉(万元),13955,12447,15283,14210,14647,14445,14611,14420,14494,14013,11413,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期待摊费用(万元),126,133,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
递延所得税资产(万元),31381,31366,28095,27783,27218,27452,26066,24401,23457,23119,20109,18918,17271,16865,16530,15749,15409,15207,14302,14662,15106,14565,10085,9153,8368,8332,6603,6503,6856,6671,6191,5753,5258,4958,4728,3883,
其他非流动资产(万元),4267,1988,2801,9808,1431,4421,20496,16450,8232,8633,6025,6362,9682,13851,--,--,--,--,3472,3464,3558,3016,3354,3086,3074,3067,1712,1139,865,704,627,590,559,264,114,0,
非流动资产合计(万元),384441,333467,306970,320479,315647,291223,338399,337557,309096,312621,296093,282568,290500,267072,238926,232912,266037,262349,274000,275850,243591,219764,203058,182269,177982,177483,151672,139415,119311,117813,98824,99893,101542,99831,97110,52654,
资产总计(万元),1626966,1591838,1531093,1471704,1464333,1464747,1475518,1439011,1454118,1450777,1491079,1452269,1411184,1441057,1430814,1389374,1429578,1461719,1440846,1411220,1437447,1477054,1469957,1432810,1484935,1435217,1356894,1229796,1210817,1201585,1156299,1078536,883895,847269,812920,613287,
短期借款(万元),44223,63813,64240,43938,41846,47064,48093,47452,44869,41972,58604,73293,22659,15000,--,2950,2950,2950,2950,1000,4350,4350,1000,--,--,--,--,--,5611,6273,10498,4822,23364,17720,11800,0,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融负债(万元),--,814,461,--,--,--,--,--,--,--,6,7,7,11,--,--,--,--,--,--,--,--,--,--,20,124,18,166,95,381,--,0,0,0,0,0,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付票据(万元),74478,89952,65708,47417,59761,78577,71594,57708,56256,67742,96962,98382,80920,98515,116825,106451,101104,114909,132579,132425,128046,157116,184471,165013,160632,177541,148088,100985,114187,136804,126549,88671,84141,95574,78429,2094,
应付账款(万元),369308,337497,345083,325706,305179,309064,316821,316590,340298,331970,331620,305389,319448,317103,314331,303967,304745,316174,290887,280036,261683,248658,237439,258856,272358,229515,215465,221116,196018,181375,166404,168999,180537,165795,176369,128434,
预收账款(万元),410951,373715,331682,346996,339993,317850,330918,312512,307821,311289,313716,304139,292293,322498,349723,339922,336210,348507,354958,366983,392222,434353,442630,446899,465759,462077,443174,389531,347586,343128,329487,320885,282640,277119,275521,235713,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付职工薪酬(万元),10058,14802,11051,10942,10784,13271,10483,10496,9435,11482,11647,10785,10419,12867,10997,11601,12573,16725,30335,29877,30213,34321,30678,26944,25812,27394,19419,15958,19377,20647,16903,16504,14718,14741,10390,7745,
应交税费(万元),8965,12406,7448,7536,6282,6196,5156,6332,6354,8103,4156,8025,4761,5726,-3112,-5576,-4715,-4403,-3937,-3843,371,2865,5095,-2891,665,2323,9179,5853,2936,4382,11229,9481,5962,5767,-6457,3940,
应付利息(万元),232,354,184,75,88,99,47,25,305,38,136,60,22,16,--,153,65,65,34,--,--,4,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,57357,--,--,--,57357,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应付款(万元),9458,8175,10580,9243,9872,8326,8768,9191,8313,8431,7364,7761,5753,5615,6581,5907,6513,6447,6663,5373,4825,4973,4546,4739,4545,5979,6428,5860,5594,6119,5742,5630,4456,3254,3770,2006,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动负债(万元),--,--,186,181,167,1,12,12,12,17,660,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2000,--,0,0,0,0,0,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
