报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),139561,151183,137492,135188,133241,148537,131600,118634,126059,137298,126414,150538,160564,113783,103074,123125,172487,161841,94966,115532,158062,166749,163801,175077,35580,50203,85949,20245,29422,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,121,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),24456,25838,14805,9683,20725,24865,5918,3534,11652,20061,10309,6157,11869,12619,3634,6200,9871,17314,19544,12943,7303,8072,5910,5891,5481,5428,3594,2338,1582,
应收账款(万元),28003,27606,38135,37017,30707,23330,35027,32938,22660,21478,34394,38287,34167,32743,26713,20271,14413,14466,18347,22197,20223,13595,16153,15680,10298,10554,9942,9278,6382,
预付款项(万元),3655,1272,3429,2863,3715,2432,2043,2529,1829,1084,2643,1938,5127,1364,4997,7703,6462,1911,3463,3509,3399,2451,4352,3946,7906,8820,14290,9055,1985,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,780,780,--,--,--,--,--,3,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),4234,4059,4228,5743,7932,5826,6329,5045,3975,3126,3146,2623,3965,6283,11832,3957,2650,3052,5829,5696,5928,7260,6111,5007,4912,5273,4653,3708,2614,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),27922,17377,24477,22736,23461,16256,23253,22964,22330,19567,23703,24022,19465,17551,29704,30986,26346,17652,21693,23468,31655,27048,32828,32396,32930,38155,25216,15987,11639,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),49077,42149,39131,48441,42556,42229,42731,42687,44006,43102,20043,1319,75,50357,50000,35000,2000,12000,40000,40000,--,--,--,--,34,--,--,45205,10500,
流动资产合计(万元),276907,269484,261697,261672,262336,263474,246903,228330,232512,245714,220651,224885,235232,234701,229955,227241,234229,228238,203842,223345,227350,225956,229154,237997,97143,118433,143645,105939,64123,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
