报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),30991,27713,27655,21487,20223,24765,22030,15791,14697,19460,21608,33524,14776,14410,8362,6829,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),4167,2957,2371,4402,1786,3092,2661,2550,3425,3006,1769,948,2021,3004,3826,3042,
应收账款(万元),18816,15232,16690,13948,13941,12690,14117,12718,11719,11066,11245,13121,10848,10343,11828,9160,
预付款项(万元),1507,970,2215,788,831,275,678,314,470,131,1062,667,225,260,120,137,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),26,111,55,66,117,49,68,105,97,101,104,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1403,153,87,68,73,50,178,157,148,71,120,150,88,105,88,71,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),8933,7760,6754,8157,8222,9167,9491,10047,10531,10161,11870,10615,8995,5710,2839,3153,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),4012,13010,13000,16000,15000,11000,9000,16000,15000,15600,14600,4600,5,--,--,--,
流动资产合计(万元),69856,67905,68826,64916,60193,61087,58222,57682,56088,59596,62377,63625,36958,33831,27063,22393,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),13,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),50,47,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),1694,1672,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,22240,--,23254,--,22643,--,9138,--,8758,--,7410,7225,6547,--,--,
累计折旧(万元),--,6526,--,5732,--,4822,--,4399,--,3964,--,3715,3294,2522,--,--,
固定资产净值(万元),--,15714,--,17523,--,17821,--,4739,--,4794,--,3695,3931,4025,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),15453,15714,17208,17523,17560,17821,4877,4739,4744,4794,3639,3695,3931,4025,1830,1970,
