报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,
货币资金(万元),374992,398286,362646,494424,308382,305428,392867,561770,432612,398174,374538,359482,343027,374076,264487,399505,330614,373598,435535,468399,469737,459568,351245,425021,382457,446634,412850,385538,417073,483449,430162,369929,386208,328083,151874,125583,117135,113902,113754,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,100,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
应收票据(万元),53103,29322,36315,33623,28523,25973,38834,30132,22432,30297,37032,25428,18801,23268,17775,9371,17221,14975,23716,19873,20956,10761,18834,13856,17026,25672,5899,8686,16750,14488,10980,6333,4757,2772,3859,1603,3553,1704,1582,
应收账款(万元),1257825,1273163,1177442,1329138,1301645,1353274,1153879,1273149,1260558,1158725,851172,1038950,900118,935049,891392,929360,705246,691021,859352,815171,593736,804138,428655,565309,390876,495553,393480,431812,450631,438247,357943,422110,353251,419950,412867,268311,368327,301934,412093,
预付款项(万元),228221,205896,202001,196446,225390,239460,209778,188455,260652,262631,197095,169357,318084,267015,298442,254364,268836,335384,308816,272888,310262,316084,396335,317033,286683,279019,133134,245804,321736,148448,159980,100124,60082,26536,50486,16341,18267,25104,39235,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,26,--,--,--,--,--,--,--,--,--,--,48,48,48,44,34,21,51,75,45,76,58,74,82,386,78,70,
应收股利(万元),--,--,--,--,10,10,--,--,24,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,49,5300,5364,--,0,0,0,--,0,2448,395,1456,1636,727,215,
其他应收款(万元),676295,747174,835338,830202,919576,917346,904947,865395,790465,766006,505988,477065,471239,515198,498484,512227,496994,506468,466636,494905,507047,490354,447043,424723,371242,458039,273406,367953,468333,288161,382920,266529,301572,240920,181356,223613,193361,176737,141572,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
存货(万元),2353427,2242621,2235806,2184214,1993202,1952839,1864586,1844351,1777282,1714177,1673359,1577618,1695491,1694026,1555175,1404257,1532237,1361209,1064826,993514,1011507,956551,907841,948436,895891,835310,785202,591545,450253,381669,392070,347254,306947,273176,268060,230250,45839,82489,135510,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,8,0,0,
其他流动资产(万元),14177,14366,10072,10180,8200,4177,973,2320,841,1672,1255,1702,8,--,--,1,--,--,--,--,96,--,105,--,54,--,49,--,255,0,0,--,299,1,0,20,0,196,0,
流动资产合计(万元),4958040,4910826,4859619,5078228,4784927,4798507,4565863,4765572,4544865,4331706,3640439,3649602,3746794,3808631,3525754,3509085,3351148,3282655,3158881,3064750,2913341,3037458,2550057,2694425,2344325,2545574,2009428,2031373,2125051,1754513,1734130,1512324,1413193,1293945,1068972,867259,748514,702972,844030,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
可供出售金融资产(万元),32212,33242,34899,30469,29347,26722,25779,28703,27114,38690,29584,30119,27536,22973,22159,25688,17669,17566,20638,23716,19364,19681,27285,24088,22146,48262,51619,57281,38072,38072,37608,37608,29971,1,11818,1,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,1,1,0,
长期应收款(万元),228775,252442,231501,248672,286936,320619,277761,305812,362045,363685,308291,417286,398039,409840,387766,391255,499253,479077,445391,393455,356309,288525,287402,276057,258617,237110,266530,280019,283890,292547,288868,368125,318653,0,234201,0,0,967,180077,
长期股权投资(万元),49697,44204,38600,38598,32642,32635,32611,32615,27363,27354,27353,23641,23561,25749,24228,22087,30073,21040,16511,14285,14759,8508,11582,8016,7996,9365,10966,11943,9371,9220,13055,13053,13544,31452,13581,29628,29532,29750,33833,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
投资性房地产(万元),18603,18945,19028,19377,18220,18425,18065,18411,18159,18509,18545,18903,15837,15995,16152,16216,15088,15220,12991,13362,13680,11111,11676,12146,11159,11257,10318,11439,7796,7544,8199,7980,8619,8595,4672,5231,0,0,2895,
固定资产原值(万元),--,216635,--,214920,200896,200660,188566,188115,189834,--,188739,188632,182209,--,182657,184141,180690,--,178383,177856,167998,--,166351,--,158156,153076,148556,149688,125881,121119,111017,117156,81575,71168,80825,69744,70632,67093,73531,
累计折旧(万元),--,91157,--,85591,87146,84491,81882,78429,77766,--,72728,69528,70230,--,66336,64508,65485,--,62587,59869,59482,--,56517,--,53628,51155,47993,47584,45827,44822,36629,40875,34386,33525,38461,32221,33858,32946,37154,
固定资产净值(万元),--,125478,--,129329,113750,116169,106684,109685,112069,--,116011,119105,111979,--,116322,119633,115206,--,115796,117987,108516,--,109834,--,104529,101922,100563,102103,80055,76297,74388,76282,47189,37644,42363,37523,36774,34147,36377,
固定资产减值准备(万元),--,46,--,46,46,46,46,46,46,--,36,46,36,--,36,36,36,--,36,36,36,--,36,--,36,36,36,36,36,36,62,62,62,62,62,1524,40,43,66,
固定资产(万元),126401,125432,126190,129283,113704,116123,106638,109639,112023,114061,115975,119059,111943,113949,116285,119597,115169,114282,115760,117951,108480,109479,109798,110653,104492,101885,100527,102067,80018,76260,74326,76220,47127,37582,42301,35999,36734,34104,36312,
在建工程(万元),20795,19532,19305,20914,36665,35069,39756,37915,37647,36315,33957,31225,17447,15182,18755,15554,28704,25628,22505,20054,22783,17126,12997,11190,11935,9211,9678,8581,17966,16475,15260,9099,9287,239805,32467,165969,153680,154754,5222,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
固定资产清理(万元),42,44,43,43,28,30,36,36,29,36,20,22,49,40,31,15,5,5,17,11,--,--,-18,--,2,--,1,--,-1396,0,0,--,-219,-24,0,63,-12,-18,0,
生产性生物资产(万元),145,146,147,148,149,149,150,151,152,152,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,--,0,0,0,0,0,0,0,
