报告日期,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),27036,5217,5909,2739,3141,2750,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),--,525,--,--,--,24,
应收账款(万元),8218,6415,6576,5793,9349,6038,
预付款项(万元),313,369,282,87,99,164,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),261,162,153,132,99,84,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),2325,2007,1593,1754,2229,1674,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),6,58,92,79,1304,409,
流动资产合计(万元),38159,14753,14605,10585,16220,11141,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,26171,25057,22020,21178,--,
累计折旧(万元),--,7767,6873,5518,4323,--,
固定资产净值(万元),--,18404,18183,16502,16856,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),18234,18404,18183,16502,16856,9607,
在建工程(万元),632,598,--,--,119,3937,
工程物资(万元),--,--,--,--,--,131,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),1409,1419,1439,1462,1498,1532,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),777,800,567,177,92,119,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),97,114,104,88,114,77,
其他非流动资产(万元),195,235,624,277,133,61,
非流动资产合计(万元),21343,21569,20917,18505,18811,15464,
资产总计(万元),59503,36322,35522,29090,35031,26606,
短期借款(万元),--,--,1800,--,4294,2654,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),1207,1267,1961,--,1332,1025,
应付账款(万元),3858,3418,3349,5283,8278,4860,
预收账款(万元),211,217,286,391,35,40,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),438,431,485,428,386,296,
应交税费(万元),234,398,344,233,496,358,
应付利息(万元),--,--,--,--,8,33,
应付股利(万元),--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),216,330,297,350,523,325,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),0,--,--,--,--,--,
流动负债合计(万元),6164,6061,8522,6687,15351,9591,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),710,734,187,227,267,192,
递延所得税负债(万元),3,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),713,734,187,227,267,192,
负债合计(万元),6877,6796,8709,6914,15619,9783,
实收资本(或股本)(万元),6800,5100,5100,5100,5100,5100,
资本公积(万元),25024,5065,5065,4757,4757,4757,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),514,514,514,382,266,187,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),20285,18854,16193,12067,9431,6916,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),52626,29526,26813,22176,19412,16823,
少数股东权益(万元),--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),52626,29526,26813,22176,19412,16823,
负债和所有者权益(或股东权益)总计(万元),59503,36322,35522,29090,35031,26606,		
  
