报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),181829,166781,292128,168436,131349,139557,146873,130214,88441,119745,139760,156798,143035,200942,267935,165004,157393,103045,57054,126753,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),34132,46277,37270,43549,38685,25063,64082,52019,47881,76317,80279,31929,102613,113727,111497,35931,90227,74379,67964,22703,
应收账款(万元),53883,33343,42439,64200,74727,78690,98127,74093,86348,104238,101920,112304,25991,54713,25827,31257,26482,41184,26698,16799,
预付款项(万元),134070,123852,111764,117506,93872,100632,82414,83033,89006,84289,65289,108987,98758,86734,112106,48552,29235,13139,49744,51322,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,98,85,46,146,95,165,39,0,124,41,62,67,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,223,--,--,--,--,--,--,
其他应收款(万元),73,6,94,185,109,173,222,248,461,585,164,1865,974,894,361,2015,852,525,459,340,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),93335,120754,59617,53643,55215,92164,58333,40420,30335,25713,41556,64238,69648,98145,72045,53771,74157,80102,53234,32229,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),2101,2100,2100,19499,19499,19499,24687,5188,5188,2988,--,1307,1307,3304,3309,12002,12002,10000,--,--,
其他流动资产(万元),196667,204835,109242,16010,19416,18872,13404,16397,17680,20804,23009,22085,24065,37019,49907,20694,26306,27589,--,--,
流动资产合计(万元),696089,698047,654739,483075,433018,474745,488307,401651,365339,434802,452018,499574,466457,595702,642987,369225,416654,349963,255153,250146,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),6792,6127,3627,1627,1027,1027,1027,7200,7200,9400,12388,12388,12388,12388,12388,6495,6495,3309,13309,10000,
长期股权投资(万元),8085,7467,7005,7063,6451,6057,5767,4400,460,11239,10467,12379,11051,5735,--,100,100,100,100,100,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
