报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),13657,29300,14715,13339,21939,30844,20410,18141,20220,30159,19452,24210,18817,16937,12701,14046,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收票据(万元),667,316,170,170,29,218,369,74,61,702,247,66,591,721,60,298,
应收账款(万元),25569,25684,28724,31332,26230,27113,26287,25007,23717,26959,28007,26625,24165,19539,18742,10751,
预付款项(万元),2738,673,1722,990,1118,1120,990,624,844,675,885,1858,383,359,999,325,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他应收款(万元),3233,3049,3119,2731,2418,2528,2713,2566,2592,2354,2359,3023,1591,844,1065,398,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
存货(万元),21854,14989,17533,12585,11767,8663,8847,9195,12683,8986,12902,8859,6724,9788,10748,11580,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
其他流动资产(万元),344,176,315,113,445,2,252,243,729,1,509,303,42,382,231,495,
流动资产合计(万元),68062,74188,66298,61260,63946,70486,59869,55850,60846,69836,64361,64944,52314,48569,44546,37892,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),10108,10108,10108,8108,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),929,970,862,938,979,1012,863,860,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,10039,--,9687,--,9632,--,9513,--,8015,--,7993,7966,7951,7899,7842,
累计折旧(万元),--,3642,--,3352,--,3065,--,2797,--,2539,--,2410,2197,1864,1516,1048,
固定资产净值(万元),--,6397,--,6334,--,6568,--,6716,--,5476,--,5583,5769,6088,6383,6795,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),6256,6397,6240,6334,6454,6568,6602,6716,5393,5476,5577,5583,5769,6088,6383,6795,
在建工程(万元),24,--,300,173,8,--,28,28,1016,853,181,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
无形资产(万元),1322,416,445,461,184,104,135,139,133,137,84,87,91,--,--,--,
开发支出(万元),1367,2127,1570,1180,1083,793,233,67,30,11,0,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
长期待摊费用(万元),261,231,111,118,83,88,50,--,3,8,13,18,28,48,--,6,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1784,1775,1624,1414,1354,1311,1141,1168,1311,1177,1087,938,930,882,601,694,
其他非流动资产(万元),229,209,179,179,179,179,179,179,179,179,0,--,277,207,115,--,
非流动资产合计(万元),22281,22234,21439,18907,10324,10055,9231,9157,8066,7840,6943,6626,7096,7225,7100,7495,
资产总计(万元),90343,96421,87737,80167,74270,80542,69100,65007,68912,77676,71304,71570,59410,55794,51646,45387,
短期借款(万元),4480,5580,5580,4930,1900,3100,3100,1500,2400,2400,4990,8110,9600,12350,8300,7570,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应付票据(万元),735,897,1019,1241,572,1199,211,253,399,1245,131,385,41,--,121,--,
应付账款(万元),18008,22214,19450,15671,14317,17038,13466,11517,11069,17032,11731,10543,13611,11100,10980,8183,
预收账款(万元),10829,9582,9696,6455,6110,6925,5169,4903,7810,7478,9764,8447,6674,5952,7952,7103,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
应付职工薪酬(万元),675,2296,725,768,692,1670,701,765,536,1311,667,623,1262,1081,1083,1519,
应交税费(万元),596,1706,513,526,131,1691,125,127,200,1047,37,21,1290,654,617,1000,
应付利息(万元),6,7,6,6,2,4,3,2,2,4,7,14,17,24,18,24,
应付股利(万元),7,7,7,337,--,--,--,--,--,--,0,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),3526,2657,2858,2871,818,747,648,651,654,777,566,735,366,275,222,244,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,631,709,619,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,66,
流动负债合计(万元),38860,44945,39854,32804,24543,32373,23424,19718,23069,31294,27893,28878,32860,32067,30002,26327,
长期借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,632,1381,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,1381,
负债合计(万元),38860,44945,39854,32804,24543,32373,23424,19718,23069,31294,27893,28878,32860,32067,30634,27709,
实收资本(或股本)(万元),17775,17733,17733,17733,17733,17600,17600,17600,8800,8800,8800,8800,6600,6600,6600,6600,
资本公积(万元),15033,14704,13956,13956,13956,12150,12150,12150,20950,20950,20950,20950,6045,6045,6045,6045,
减:库存股(万元),2304,1932,1938,1938,--,--,--,--,--,--,0,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
盈余公积(万元),2591,2591,2289,2289,2289,2289,2021,2021,2021,2021,1652,1652,1652,1257,906,448,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),18423,18393,15831,15310,15723,16097,13899,13515,14087,14622,12030,11340,12304,9879,7499,4625,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-38,
归属于母公司股东权益合计(万元),51483,51477,47883,47362,49727,48168,45677,45289,45843,46382,43411,42692,26549,23726,21012,17679,
少数股东权益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),51483,51477,47883,47362,49727,48168,45677,45289,45843,46382,43411,42692,26549,23726,21012,17679,
负债和所有者权益(或股东权益)总计(万元),90343,96421,87737,80167,74270,80542,69100,65007,68912,77676,71304,71570,59410,55794,51646,45387,		
  
