报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),43943,41628,36753,58005,32819,23117,18929,21633,15588,26288,17959,23198,13877,27433,22090,27069,13316,12327,28399,33207,37920,36132,46903,53187,11503,12932,16035,15910,13264,13802,18056,11412,16088,15253,34177,33423,41414,39537,58639,14507,15292,4907,12020,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,
交易性金融资产(万元),--,--,--,--,14,--,--,70,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,
应收票据(万元),222,--,--,372,124,546,30,168,512,--,1214,1049,2562,--,173,314,400,--,197,340,1204,1473,113,303,940,695,227,1547,1425,2160,460,1091,637,1101,0,170,292,350,5,694,552,--,457,
应收账款(万元),20330,19172,--,19571,15676,15093,15790,14657,15365,12652,14700,11135,11449,11438,12485,13489,11676,8955,8889,9779,9258,9530,10075,9465,12704,12981,11884,12807,10741,10813,10798,12248,8393,10239,8481,8282,7715,7169,8269,7493,5343,4477,3725,
预付款项(万元),5520,777,15378,12189,7023,9340,4528,4954,1648,1091,1640,2563,1983,863,1201,1992,1571,732,4275,965,823,629,2688,648,1178,348,2467,341,1487,2071,1086,997,2309,2640,2749,2711,1817,2144,1604,1912,534,1164,1135,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,0,0,--,0,
