报告日期,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),17089,25091,16667,9010,6923,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),0,0,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),360,--,--,1209,--,
应收账款(万元),2896,1140,3177,2760,2192,
预付款项(万元),895,486,488,850,895,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),123,99,70,109,96,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),18521,17111,18795,16099,13635,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),4,4,1,132,285,
流动资产合计(万元),39888,43931,39198,30168,24025,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),831,863,928,--,--,
固定资产原值(万元),12666,12565,11438,12353,--,
累计折旧(万元),7634,7238,6567,6369,--,
固定资产净值(万元),5032,5327,4870,5984,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),5032,5327,4870,5984,6565,
在建工程(万元),278,39,759,289,--,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),533,542,519,538,645,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),347,424,379,719,250,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),641,522,629,576,419,
其他非流动资产(万元),163,90,--,--,--,
非流动资产合计(万元),7825,7807,8083,8106,7879,
资产总计(万元),47713,51738,47281,38274,31905,
短期借款(万元),--,--,--,3000,3000,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,--,
应付账款(万元),9415,10194,8407,4839,5298,
预收账款(万元),3945,6672,9622,6769,5141,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),1381,2369,2246,1843,1481,
应交税费(万元),652,548,725,680,57,
应付利息(万元),--,--,--,--,--,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),2793,3159,3286,3097,1961,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),18184,22941,24285,20228,16938,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),70,60,--,--,100,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),70,60,0,0,100,
负债合计(万元),18254,23001,24285,20228,17038,
实收资本(或股本)(万元),6106,6106,6106,5740,5740,
资本公积(万元),16740,16740,15740,2780,2780,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),580,580,190,1077,678,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),6033,5311,960,8448,5668,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),29459,28737,22996,18045,14867,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),29459,28737,22996,18045,14867,
负债和所有者权益(或股东权益)总计(万元),47713,51738,47281,38274,31905,		
  
