报告日期,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),45315,35571,52667,34722,
结算备付金(万元),--,--,--,--,
拆出资金(万元),30000,5000,--,--,
交易性金融资产(万元),586,2476,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),100,--,185,506,
应收账款(万元),2707,4391,4838,5822,
预付款项(万元),--,--,--,--,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),32481,24771,17535,16140,
应收股利(万元),--,--,--,--,
其他应收款(万元),1862,2224,1701,4505,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),--,--,--,--,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),--,--,--,--,
流动资产合计(万元),--,--,--,--,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),6670,6640,3498,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),4515873,4020128,3132148,2964269,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),1002,1036,1091,835,
固定资产原值(万元),58977,--,--,--,
累计折旧(万元),2933,--,--,--,
固定资产净值(万元),56044,--,--,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),56044,3273,3375,3167,
在建工程(万元),--,51213,50587,47882,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),916,721,532,390,
开发支出(万元),--,--,--,--,
商誉(万元),--,--,--,--,
长期待摊费用(万元),1244,--,--,--,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),25562,19444,7882,3000,
其他非流动资产(万元),17581,--,--,--,
非流动资产合计(万元),--,--,--,--,
资产总计(万元),4737941,4177058,3276234,2664807,
短期借款(万元),419356,133000,196730,207965,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),2559333,2262708,1622242,1450438,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),--,--,--,--,
应付账款(万元),12274,3274,537,4802,
预收账款(万元),--,56905,76388,85608,
卖出回购金融资产款(万元),300000,300000,300000,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),6908,2992,696,413,
应交税费(万元),13716,17486,13383,7788,
应付利息(万元),22685,20262,15164,9569,
应付股利(万元),--,--,--,21700,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,1641,1520,2480,
内部应付款(万元),--,--,--,--,
其他应付款(万元),41535,24840,19943,14146,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),--,--,--,--,
长期借款(万元),--,86525,63275,69580,
应付债券(万元),333962,354065,200792,199395,
长期应付款(万元),356060,374389,299565,188171,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,--,
长期递延收益(万元),63354,--,--,--,
递延所得税负债(万元),--,11,--,--,
其他非流动负债(万元),1876,--,--,--,
非流动负债合计(万元),--,--,--,--,
负债合计(万元),4131058,3638098,2810235,2262056,
实收资本(或股本)(万元),234665,234665,234665,234665,
资本公积(万元),103792,103782,103792,103792,
减:库存股(万元),--,--,--,--,
专项储备(万元),--,--,--,--,
盈余公积(万元),19277,19259,11037,3711,
一般风险准备(万元),62347,62347,48207,39017,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),186223,118167,68297,21567,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),606882,538961,465999,402751,
少数股东权益(万元),--,--,--,--,
所有者权益(或股东权益)合计(万元),606882,538961,465999,402751,
负债和所有者权益(或股东权益)总计(万元),4737941,4177058,3276234,2664807,		
  
