报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),9375,7504,5232,6972,5801,5907,5927,8453,8188,8552,7418,9642,4993,18672,10084,10799,21729,4235,5159,4835,3436,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),1951,1872,2002,1704,1550,1242,1029,1263,1050,1189,357,716,1426,1704,1215,1287,1091,1486,1119,552,796,
应收账款(万元),4689,4644,3618,3613,4324,4679,3287,3247,3453,3582,3124,3054,3891,3553,3145,3744,4205,4157,4607,3762,4570,
预付款项(万元),4156,4213,4263,303,257,325,319,250,154,152,144,154,205,149,112,134,114,976,604,1900,1759,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),344,217,236,198,204,207,213,206,169,270,215,46,154,181,184,180,186,192,194,38,34,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),4174,4533,4155,4132,3567,3243,2911,2965,2999,3211,3730,3804,3962,3555,3517,3361,3133,2922,2923,2694,2148,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),125,404,574,3375,4008,4001,4037,1088,126,78,7000,6001,10018,18,9106,9239,--,--,--,--,16,
流动资产合计(万元),24814,23389,20080,20296,19712,19605,17723,17472,16138,17034,21988,23416,24649,27832,27363,28744,30458,13969,14606,13780,12759,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),5446,5507,5549,5600,1655,1689,1723,1034,4909,1092,1120,1149,555,569,583,597,611,625,653,708,764,
固定资产原值(万元),--,22291,--,22234,--,25681,--,26192,--,27521,--,26847,--,7839,--,9146,--,8715,8248,--,--,
累计折旧(万元),--,4851,--,4302,--,4001,--,3417,--,4130,--,3744,--,4120,--,5089,--,4833,4577,--,--,
固定资产净值(万元),--,17440,--,17932,--,21681,--,22775,--,23392,--,23103,--,3719,--,4057,--,3882,3671,--,--,
固定资产减值准备(万元),--,32,--,32,--,32,--,32,--,66,--,88,--,88,--,88,--,88,88,--,--,
固定资产(万元),17166,17408,17638,17900,21538,21649,21882,22743,19255,23325,23321,23014,3569,3630,3886,3969,3928,3794,3582,3316,3096,
在建工程(万元),219,195,237,254,341,482,346,307,323,324,497,1808,18087,14874,14033,13123,12143,9427,4984,118,81,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),868,920,879,885,1414,1423,1432,1441,1450,1459,1464,1475,1485,1496,1508,1516,1529,1542,1562,54,67,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),247,257,267,277,288,298,286,294,302,311,319,327,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),63,71,119,80,49,51,45,42,39,61,48,48,47,41,42,48,49,50,44,46,53,
