报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),4376730,4527768,4455189,4412311,4181099,4560273,4348153,3446865,3750335,4064351,2956536,2808901,2613302,2745082,2065636,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),36586,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,100,--,--,--,442,164,724,394,3587,2700,1312,439,430,622,
应收账款(万元),29651,21996,27035,27057,26950,22701,28991,27312,13236,9690,14268,13499,9191,10967,64605,
预付款项(万元),206286,579221,936345,921475,1329539,1246808,81160,603472,320148,86581,139003,234982,364784,283708,1069,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),1195,2312,3202,887,3724,2644,3230,1092,11325,2565,4562,1988,--,10,27,
应收股利(万元),3526,--,6953,8573,7673,7673,--,--,0,4763,--,--,32213,25793,--,
其他应收款(万元),7189653,6229695,5011915,3897068,3830858,3245998,2859284,2422771,1847528,1752847,1645737,1340699,975579,1454386,944300,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),18643818,16423290,14455165,13717061,12152616,11418687,13564646,12650103,12527995,12138050,12063023,11289767,10067564,8152694,7580258,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),103979,110779,22000,32000,--,--,74579,74579,74579,74579,--,--,--,418,1676,
其他流动资产(万元),771314,643514,831982,748933,656365,589976,667333,683705,661707,520268,514901,401521,355074,355416,282304,
