报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),38257,51053,29952,45213,41436,53148,30244,41726,75089,103756,6296,5656,10166,13771,5093,7812,9336,14462,10815,12491,12080,8453,1202,2858,9688,8964,6457,4116,2506,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),3980,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),5954,4219,8792,8579,8552,11395,8161,8427,10651,11847,7300,7578,10463,8897,3821,5646,4544,6676,1734,2050,2478,2669,690,875,3750,--,1104,--,--,
应收账款(万元),120546,117380,95316,88156,90277,84206,84086,82504,66667,72403,60007,54116,48775,46559,20585,19945,16846,16953,19499,18512,14646,13775,16430,13467,9086,4571,3447,3157,1118,
预付款项(万元),16755,8752,11211,8634,10050,10185,18680,17511,7835,7185,10598,11272,12589,11385,5107,4907,3693,3505,2687,1720,1676,1580,1572,1607,612,209,124,462,287,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,80,--,--,--,--,--,
其他应收款(万元),--,10829,8686,8058,8615,4149,4275,2385,3121,2431,2482,4368,4293,6098,636,526,706,391,702,688,697,474,674,622,567,318,56,57,45,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
