报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),12673,7482,17821,20661,18115,12498,12058,11076,26178,28114,29114,11929,17339,17423,21435,19736,17102,20445,31781,30608,44266,45060,48633,50946,56003,56987,60320,65218,57823,76088,78311,77896,78620,81434,10969,10028,10454,14807,37,42,
结算备付金(万元),0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
拆出资金(万元),0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
交易性金融资产(万元),0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,--,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
衍生金融资产(万元),0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收票据(万元),0,0,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收账款(万元),12502,10481,8989,8585,9509,10590,9600,12736,10464,13338,12445,24106,20372,17924,16999,14116,7891,9275,9371,2933,3353,2332,2317,2114,1934,1633,2092,950,863,283,360,218,242,303,188,590,300,282,621,157,
预付款项(万元),4834,2629,2151,2348,2374,1885,1812,3593,3935,3437,3459,5716,6236,6749,5489,10717,8553,8382,6253,5426,5739,4913,4622,4501,3836,3850,3247,3649,10765,1488,699,1165,610,445,702,738,373,430,20,0,
应收保费(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保账款(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收分保合同准备金(万元),0,0,0,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收利息(万元),0,0,0,1,1,1,8,1,15,0,0,0,13,12,36,29,21,44,63,69,65,278,253,250,294,378,227,322,207,254,632,442,387,200,14,8,50,21,0,0,
应收股利(万元),398,0,0,0,0,0,0,0,0,0,0,75,0,--,0,0,0,0,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
其他应收款(万元),16262,19126,13713,4110,10304,9531,9842,2796,2490,2105,10863,1870,1817,2676,3480,1066,1273,11999,1456,807,743,817,758,594,414,864,516,728,420,464,172,138,594,75,77,85,32,79,979,427,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
