报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),32387,12675,14218,35308,17677,7771,27078,37839,30862,28030,25900,33537,38139,43720,38273,43195,43659,45856,51070,53098,48085,48756,49758,49517,46007,47029,49180,48939,45594,55239,53851,5839,10089,8598,5166,3971,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3000,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),--,--,--,--,6,9,25,15,--,--,--,--,--,--,--,--,--,10,10,39,39,--,177,534,1498,1793,1527,2268,2613,1802,815,2183,1514,1007,41,707,
应收账款(万元),2828,3038,168,2459,1479,1683,139,1972,576,1222,266,770,770,736,360,1026,457,723,682,501,354,352,158,678,432,1561,239,431,286,663,129,2009,249,260,3040,937,
预付款项(万元),4108,5063,1057,1017,894,788,738,1667,1454,908,1003,1097,2029,2872,1802,1329,2973,2299,2155,403,997,1324,813,332,1154,149,218,124,4100,996,1303,358,1686,564,757,1516,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,--,13,30,2,--,87,151,31,45,34,179,482,1117,1254,1035,782,927,771,530,256,591,350,482,188,554,387,488,--,--,--,0,0,0,0,6,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),568,1099,424,381,596,562,623,541,594,765,645,469,424,541,356,917,645,693,785,422,395,475,380,423,444,382,294,222,174,443,205,1111,1095,1193,1906,2422,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),31920,34447,24776,19311,24789,27573,17227,18107,21481,21994,17527,16154,18883,18485,14151,19002,19190,18249,11435,11635,12301,11742,11343,12106,10431,12332,12869,11488,11879,8835,10058,9386,9307,5902,6813,5759,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),87987,100368,111701,80118,77874,80000,53562,30000,23000,26000,25500,27450,15000,7000,14000,7500,4000,--,3500,--,--,--,--,3,2,6,--,86,951,306,--,20,0,0,0,0,
流动资产合计(万元),159799,156690,152357,138623,123316,118386,99478,90292,77999,78964,70875,79657,75727,74471,70196,74004,71706,68758,70408,69627,62427,63240,62979,64074,60158,63807,64715,64045,65597,68285,66361,20906,23940,17525,17723,15317,
