报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),18407,16687,14956,13801,10603,8826,14061,7700,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,64,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),1333,2852,1922,2530,2734,1044,3044,1420,
应收账款(万元),11492,10727,9932,9413,6730,8584,7170,7877,
预付款项(万元),1925,1837,1797,1096,396,967,1587,3160,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),531,22,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),52,438,22,43,25,19,39,53,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),20793,20928,18202,16241,11798,12132,11487,13197,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),49329,49865,111,15,207,--,9,194,
流动资产合计(万元),103861,103356,46943,43140,32492,31636,37397,33601,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),3002,3005,2709,2951,919,975,1050,683,
固定资产原值(万元),--,27982,--,28067,28227,25421,--,--,
累计折旧(万元),--,17103,--,16528,14991,13291,--,--,
固定资产净值(万元),--,10879,--,11539,13236,12130,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),10778,10879,11256,11539,13236,12130,10641,11422,
在建工程(万元),14158,12994,12736,13088,8778,2981,1008,474,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),4428,4453,4484,4514,5228,4578,4696,2904,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,9,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),678,674,628,662,711,624,568,757,
其他非流动资产(万元),687,741,108,134,38,279,274,203,
非流动资产合计(万元),33731,32747,31921,32888,28911,21568,18245,16443,
资产总计(万元),137593,136103,78864,76028,61403,53204,55642,50044,
短期借款(万元),501,558,5631,1526,568,5706,10443,6203,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,61,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),--,--,520,1607,1131,--,667,2753,
应付账款(万元),13053,16804,13099,13634,8689,7444,6397,6083,
预收账款(万元),1020,1015,867,1326,3512,659,1067,1412,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),2129,1566,1315,2267,1964,1773,1326,1261,
应交税费(万元),2094,1385,1196,2105,981,1826,1909,713,
应付利息(万元),--,--,11,1,--,8,15,7,
应付股利(万元),--,--,--,28,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),623,472,372,351,491,528,411,1226,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),50,115,158,139,132,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,
流动负债合计(万元),19470,21917,23169,22983,17466,18005,22235,19658,
长期借款(万元),1319,1306,1242,1231,1331,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),736,714,679,728,758,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),123,82,16,39,86,119,216,108,
长期递延收益(万元),580,605,631,656,409,341,266,101,
递延所得税负债(万元),--,--,--,--,--,10,--,0,
其他非流动负债(万元),--,--,--,--,--,--,--,--,
非流动负债合计(万元),2756,2707,2568,2654,2584,469,483,210,
负债合计(万元),22226,24623,25738,25638,20050,18474,22717,19868,
实收资本(或股本)(万元),12000,12000,9000,9000,9000,9000,9000,9000,
资本公积(万元),57135,57135,4500,4500,4500,4500,4500,4500,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),6182,6182,6182,6182,5151,4306,3285,2157,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),39326,35785,33160,30417,22958,17095,16117,14529,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),114861,110968,52610,49892,41353,34730,32925,30176,
少数股东权益(万元),505,512,516,498,--,--,--,--,
所有者权益(或股东权益)合计(万元),115366,111479,53126,50390,41353,34730,32925,30176,
负债和所有者权益(或股东权益)总计(万元),137593,136103,78864,76028,61403,53204,55642,50044,		
  
