报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),6886,6868,9573,9497,4902,10796,17168,1937,4468,3533,2948,4549,6313,4578,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),11024,10035,8273,12746,10064,4902,3037,4088,2739,1969,1798,1858,1805,482,
应收账款(万元),24519,26931,22386,20769,24766,21718,19033,16926,12767,12725,11351,9645,9578,3973,
预付款项(万元),204,313,219,139,23,1983,447,97,66,174,343,204,355,1280,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),317,293,303,332,473,325,374,342,134,233,221,156,171,45,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),20574,19511,19708,17194,15273,16392,14968,14525,12221,10968,10544,10001,8072,5038,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),1,1,1,1,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),96,26,43,52,96,56,59,52,16,13,4,6,17,3,
流动资产合计(万元),63621,63978,60507,60730,55597,56172,55085,37968,32410,29615,27208,26418,26310,15398,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),100,100,100,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,35907,--,25772,--,22845,--,21042,20330,20149,19823,19751,--,--,
累计折旧(万元),--,11399,--,10243,--,9185,--,8240,6386,5474,5007,4539,--,--,
固定资产净值(万元),--,24508,--,15529,--,13659,--,12802,13945,14675,14817,15212,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),24893,24508,15329,15529,14441,13659,12524,12802,13945,14675,14817,15212,14708,10528,
在建工程(万元),150,--,6635,6554,6023,5044,2414,1570,241,145,141,136,166,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),6211,1287,1303,1328,1326,1297,1319,1328,1419,1321,1330,1350,1294,1330,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),297,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),4,4,4,5,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),1208,1122,915,883,691,681,572,556,689,563,526,559,692,221,
其他非流动资产(万元),1869,1820,2340,1299,1682,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),34732,28841,26626,25599,24163,20682,16829,16257,16293,16704,16813,17257,16861,12080,
资产总计(万元),98354,92819,87133,86329,79760,76854,71914,54224,48703,46319,44021,43675,43171,27478,
短期借款(万元),4000,2000,--,--,--,--,--,--,83,491,491,491,1180,2000,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),2759,2121,2235,1839,1164,414,95,446,--,--,--,--,--,--,
应付账款(万元),5327,4873,3384,3030,4397,5119,2722,2331,2589,1335,899,1104,2544,813,
预收账款(万元),236,447,105,201,109,142,421,137,333,95,99,113,592,98,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1726,1397,1320,1681,1215,1118,681,1134,1244,774,567,921,2185,563,
应交税费(万元),533,826,198,334,1007,796,536,762,-533,606,175,-19,1078,260,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),33,33,--,--,--,--,--,--,1500,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),4251,4563,3822,4594,2279,2238,2702,2113,836,1088,1115,988,1286,701,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
