报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),18121,14906,34204,23508,22562,21924,38502,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),7500,13376,11412,10987,5930,6204,9998,
应收账款(万元),98213,82564,79298,64549,60356,49665,60771,
预付款项(万元),1489,895,1213,1423,746,663,1002,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,
应收股利(万元),--,--,--,158,158,131,--,
其他应收款(万元),943,933,982,1039,2003,6364,1287,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),149754,146068,144743,141824,124553,96242,88413,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),1373,2654,157,5873,8558,2431,821,
流动资产合计(万元),277393,261395,272009,249361,224866,183625,200794,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),3512,3483,3395,3339,3150,2575,2079,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,1480,1502,1525,2132,2114,1915,
固定资产原值(万元),78769,76544,76171,--,67807,66786,--,
累计折旧(万元),21136,19752,17749,--,15009,12232,--,
固定资产净值(万元),57633,56792,58422,--,52798,54554,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,
固定资产(万元),57633,56792,58422,52340,52798,54554,55518,
在建工程(万元),179,179,179,--,--,183,7,
