报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),37695,34333,32529,46037,28774,28283,6036,11512,12212,16891,13512,6794,13779,41359,26018,45504,9859,11183,12491,17974,20662,23892,19070,20697,31958,40966,42388,44409,38473,41176,43777,47077,4438,6849,3101,5370,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,20,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),3025,2975,3000,3106,3005,--,25,275,50,--,--,166,--,314,60,4,18,232,3177,3367,1780,3363,1964,1817,355,2432,346,234,849,2405,334,751,500,555,4,163,
应收账款(万元),79835,69519,79409,85520,72971,60233,105432,96133,113245,113923,99748,92051,76265,48842,62392,37311,39950,25822,13786,14279,11221,8776,10187,10010,10131,8414,9603,10069,11055,9709,9568,9083,8470,6624,5046,3986,
预付款项(万元),3402,1747,1847,1846,1677,1309,1772,1742,1592,974,2130,1121,1541,1896,2691,2758,773,665,1683,2092,1620,1126,2478,1894,2546,661,665,419,637,1067,912,1304,1130,1340,456,948,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,7,56,--,16,--,39,--,192,67,52,--,45,34,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
其他应收款(万元),--,3761,5564,5544,5427,3819,396,996,666,413,460,465,565,3917,3040,4715,1849,1838,758,799,771,453,265,436,554,524,377,680,544,537,692,1748,535,740,1437,4023,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),258297,252345,245759,227435,193024,171464,124915,106190,65235,26761,4066,4697,4329,5937,6690,5455,5972,6430,4987,3622,4158,3202,3644,3088,3281,3240,3159,2791,3159,2458,2784,2554,2806,2608,3239,3034,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,54,36,2,1,2,--,--,--,--,19,19,15,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),21932,24415,24179,23020,19595,17063,14194,13500,9787,9451,5048,3221,4101,4733,488,3199,334,337,329,387,495,434,39343,33542,31547,13404,--,0,--,--,--,--,--,--,--,--,
流动资产合计(万元),416928,389095,392287,392509,324473,282226,252806,230350,202789,168414,124963,108515,100579,106998,101398,98965,58770,46522,37213,42527,40762,41246,76965,71483,80412,69641,56730,58670,54770,57351,58111,62551,17879,18715,13284,17543,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,
长期应收款(万元),1599,1730,1937,2226,2440,2634,2883,3011,3129,3200,3332,3484,3556,3631,4072,4054,4123,4388,4430,5419,6643,6994,8110,8688,8856,8942,5594,2976,--,--,--,--,--,--,--,--,
