报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),26777,22713,24288,23097,35753,29375,29883,34394,30731,25974,24625,27516,35307,38711,63011,23133,42249,47217,39296,18551,31545,17999,20978,27942,27759,20465,28502,21334,27413,24368,27665,21345,21356,28891,30717,45249,21861,21269,17117,13036,21944,19093,15092,23149,29269,17978,23142,16672,9155,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,694,503,305,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
应收票据(万元),21,159,508,275,38,566,336,61,14,442,69,50,150,35,200,30,153,50,383,154,186,107,73,159,317,174,175,125,559,144,170,383,101,163,96,174,156,35,129,97,111,51,100,81,174,39,43,57,210,
应收账款(万元),21157,22539,22991,21257,22088,20114,21976,22513,22131,27515,27644,25252,26321,22729,22626,21564,26935,21919,23409,23125,22677,21732,29622,22951,25266,20691,22254,22490,28973,18109,18877,17077,23873,18660,17833,16302,15751,13318,13210,11724,10288,13392,13217,11571,10347,11890,10662,9461,9172,
预付款项(万元),670,614,786,208,465,914,854,799,512,1668,1491,1494,2041,1421,946,1018,1382,1611,1400,1616,1395,4135,4597,3968,3577,2993,2380,2692,2151,1617,1821,1163,988,935,2630,1805,2066,8541,14014,15374,20713,19508,19261,31736,13678,48935,46226,45301,44178,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,0,--,--,--,--,--,--,--,--,0,
