报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),2150824,2379460,2685383,2737118,2307986,2287356,2417971,2605612,2223958,1628334,1047416,1240951,592963,485453,376443,319627,148476,173266,177960,258666,204977,390285,61819,11077,37561,5075,1346,1585,198,87,525,1021,172,263,329,489,514,477,519,1751,428,553,207,1471,163,386,246,178,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
应收票据(万元),--,77539,62078,53813,7168,9500,3477,5534,4142,8406,2183,5101,11438,10545,31280,44951,38355,39780,1200,--,22,178,145,80,201,130,125,45,119,22,35,--,--,74,32,81,120,138,142,134,277,219,562,1360,396,518,716,526,
应收账款(万元),--,993765,974113,791262,281556,234191,140266,165271,117037,114597,134543,104254,115518,111839,113975,63881,155167,157922,161145,94329,79397,60089,63883,57387,37981,26790,17096,1229,1027,566,515,498,2398,2345,2311,6731,10276,10424,10314,10250,13649,13746,13227,11086,5632,5728,5122,3873,
预付款项(万元),397770,153106,304962,202026,198635,180067,219669,86243,38414,45998,192469,41891,226370,228258,203337,274945,374298,381422,358847,278896,332150,272318,86457,75595,52899,5253,4534,567,638,234,189,213,79,75,76,78,89,69,54,97,466,349,552,844,696,438,88,676,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
应收利息(万元),--,2931,7459,4946,5767,1624,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,0,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,0,--,0,
其他应收款(万元),136151,134989,129447,104489,31970,102831,38174,18607,9139,9159,5736,5520,17633,6973,5828,4330,10023,6211,3470,2930,25094,4818,1970,1866,2104,3258,7930,2435,3046,2958,1682,2528,1630,1834,2725,2025,3173,2913,3719,2108,1954,2087,2270,1990,9449,9110,9391,9192,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
存货(万元),509915,421088,445238,489052,370656,367095,337758,268897,218934,227463,201298,217798,118568,126864,114800,51285,25761,20265,25824,29862,22433,22996,24409,16872,18293,16901,9616,14198,14220,14812,14968,14405,10853,11363,11178,6862,3989,4281,3840,4566,4409,4274,3863,3591,3366,3404,2847,2447,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,0,--,0,
其他流动资产(万元),86930,120739,125527,248589,273606,262431,314936,320345,123092,120926,118541,121640,60811,59724,57440,51057,10842,9481,5802,7563,5813,5811,5816,5951,5800,5844,5815,5815,5829,5829,5829,5829,5844,5836,5844,5844,5861,5861,5861,5861,5869,5869,5869,5869,5800,5800,5800,5879,
流动资产合计(万元),4375162,4296243,4752408,4652597,3477730,3445481,3472250,3470510,2734718,2154882,1702185,1737169,1143301,1029656,903103,810077,762923,788347,734248,672246,669886,756494,244499,168829,154839,63251,46462,25875,25077,24508,23743,24494,20977,21790,22494,22110,24022,24162,24448,24766,27052,27097,26550,26211,25503,25384,24209,22771,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
可供出售金融资产(万元),24316,24316,11210,10000,10000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,--,--,--,--,--,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
长期应收款(万元),13914,13890,14290,14399,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
长期股权投资(万元),215900,214248,214053,213064,50503,47765,49212,7235,7240,7251,7221,7243,7180,7197,--,--,--,--,--,--,--,--,15,15,15,15,328,15,15,15,15,15,815,15,15,15,20,20,20,20,--,--,--,--,--,0,--,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
投资性房地产(万元),6657,6693,5792,5823,5854,5897,--,--,--,--,--,--,--,--,--,--,--,--,1209,1222,1149,1208,1333,1423,1513,1602,1693,1782,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,--,--,0,
固定资产原值(万元),--,1395403,--,1363264,--,1053813,--,1009663,--,760090,--,775404,--,317337,--,228082,--,165025,--,33448,--,26577,--,25736,--,25367,--,25183,--,37510,--,37537,--,37315,0,37320,0,37320,0,37316,--,37334,--,37268,--,37166,--,37379,
累计折旧(万元),--,301484,--,254049,--,146960,--,114425,--,84984,--,85381,--,44389,--,32202,--,27305,--,19333,--,20815,--,20374,--,19972,--,19570,--,28112,--,27381,--,26630,0,25883,0,25128,0,24364,--,23637,--,22869,--,22125,--,21580,
固定资产净值(万元),--,1093919,--,1109215,--,906853,--,895238,--,675105,--,690023,--,272948,--,195880,--,137720,--,14114,--,5763,--,5361,--,5395,--,5613,--,9398,--,10156,--,10684,0,11437,0,12192,0,12952,--,13697,--,14400,--,15041,--,15799,
固定资产减值准备(万元),--,59,--,59,--,4,--,4,--,4,--,4,--,4,--,4,--,4,--,4,--,324,--,324,--,324,--,324,--,324,--,324,--,324,0,324,0,324,0,324,--,308,--,308,--,308,--,308,
固定资产(万元),1070289,1093860,1086178,1109156,899442,906849,882328,895234,879614,675102,679089,690019,269127,272944,218569,195876,135382,137716,17009,14111,11186,5439,5030,5038,4903,5072,5138,5290,8769,9075,9451,9833,10031,10361,10736,11113,11487,11868,12250,12628,13018,13389,13754,14092,14362,14734,15146,15491,
在建工程(万元),544031,538750,342313,325311,293243,245715,248210,177263,189628,392363,365161,343302,217363,213212,235532,204573,178864,144923,222155,191412,124104,47090,28872,19695,13184,5286,2858,2230,70,--,--,--,--,0,0,0,0,0,0,0,--,--,17,--,55,43,41,8,
工程物资(万元),--,--,--,--,--,--,--,30,25,25,340,4,14164,12830,5418,2210,4403,781,14014,11269,--,20781,23484,3996,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,0,--,0,0,2,2,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,--,--,--,--,0,0,0,0,0,0,0,--,--,--,--,--,4,--,0,
