报告日期,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),64429,5852,20656,14750,17645,5336,15100,4835,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,41,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),7104,5034,10474,5045,8772,638,200,157,
应收账款(万元),54877,48096,28372,31116,20589,16919,9326,6025,
预付款项(万元),540,834,433,976,466,371,676,511,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),3285,2119,1414,1533,990,1593,1243,968,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),14812,12703,8746,8798,6104,4884,5047,5186,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),1242,1484,1049,391,208,--,--,--,
流动资产合计(万元),146288,76122,71144,62608,54774,29740,31593,17723,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),1,1,0,--,--,--,132,344,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,22515,21942,--,18134,18160,--,--,
累计折旧(万元),--,7655,7019,--,5966,4835,--,--,
固定资产净值(万元),--,14860,14923,--,12167,13325,--,--,
固定资产减值准备(万元),--,4,4,--,64,216,--,--,
固定资产(万元),14071,14856,14919,11179,12103,13109,11151,6892,
在建工程(万元),40596,37626,31340,26198,19293,7119,2066,2898,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),8143,8230,8294,6845,6618,6752,6860,6957,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),159,166,179,200,212,241,171,14,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),625,934,395,424,326,280,162,109,
其他非流动资产(万元),--,--,--,--,--,--,--,--,
非流动资产合计(万元),63595,61813,55127,44847,38552,27502,20542,17214,
资产总计(万元),209883,137935,126271,107455,93326,57242,52134,34936,
短期借款(万元),6200,2000,--,9900,12900,9900,10300,9980,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),480,--,--,--,--,--,--,--,
应付账款(万元),38077,36448,27708,20752,15482,4959,4564,2690,
预收账款(万元),3365,1293,1125,1144,1130,1009,826,3922,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),670,155,2138,562,2613,1972,1012,975,
应交税费(万元),2115,1647,963,1218,1113,1036,1190,421,
应付利息(万元),40,36,40,30,31,17,22,13,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),5978,4365,3959,3381,2586,2535,5835,5369,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
