报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),599204,583392,617418,669779,863973,807255,695032,731472,724557,577223,678044,535517,709238,689159,638113,491834,391613,373849,327468,379040,389522,424137,404908,353346,391514,231011,216441,291781,319918,261808,295561,445789,180357,167419,131535,74784,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
交易性金融资产(万元),--,--,--,6664,5575,8711,9096,7970,3928,3914,5746,3282,2180,1025,298,88,5442,320,251,712,304,--,647,964,148,187,208,1358,1570,597,--,--,0,0,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收票据(万元),59936,117859,136327,112924,104459,59255,123871,127559,54824,51372,37574,60928,79341,57865,63917,100941,44077,56030,18652,108715,35461,73344,41772,83731,24569,37331,37725,60400,25501,12175,41334,66326,27572,27429,11890,23461,
应收账款(万元),290536,295496,297100,294778,334492,291205,264244,248259,279045,307690,297368,361452,296936,254957,272975,236270,207999,189557,176221,133944,150881,155985,161310,134412,179146,172298,162644,135285,161926,136995,129814,97896,87770,78401,76422,56618,
预付款项(万元),79843,83783,74886,65615,61015,62595,63893,48954,71721,56453,33375,25307,52035,33341,19431,15238,29917,27963,28214,21695,30882,27653,28333,28689,26235,37658,33354,24063,47597,40789,30728,20724,18438,14665,15859,15801,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收利息(万元),3026,3721,5810,8193,5737,5906,4502,4327,6270,4796,4752,4840,4924,4433,4701,3581,1871,1555,445,671,220,1074,723,991,--,--,--,--,--,--,--,--,0,0,--,--,
应收股利(万元),--,--,3920,--,--,--,--,--,--,--,--,--,--,6927,--,--,259,5963,--,--,--,--,907,--,225,225,873,225,225,225,873,225,225,298,748,--,
其他应收款(万元),--,67907,75125,64087,64497,61862,66338,63065,55791,71509,56825,88601,47224,35240,36155,58884,35184,37561,33364,33143,37849,27820,36464,29760,24155,22045,18190,16064,34605,26247,18601,14842,16288,12006,11066,19842,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
存货(万元),295928,283357,276993,290003,293481,302936,261374,253308,224631,219916,208739,215553,220052,199681,189789,186571,259027,269933,230194,239066,225209,217078,205738,201483,156599,137901,123882,118568,123074,104135,82884,86341,82584,72252,76211,62680,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
一年内到期的非流动资产(万元),--,117,193,201,84486,69703,42759,44694,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
其他流动资产(万元),83734,78591,74944,80021,68667,68837,81328,61528,79141,79167,62378,39674,23986,27215,26493,12802,20147,20549,13856,11197,1984,1818,734,926,5,8,38,41,15,45,43,13,51,301,1252,--,
流动资产合计(万元),1507829,1514223,1562715,1592263,1886382,1738265,1612439,1591137,1499908,1372042,1384801,1335151,1435916,1309843,1251872,1106208,995535,983280,828664,928183,872313,928909,881536,834302,802597,638664,593354,647783,714432,583015,599839,732156,413286,372772,324983,253186,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
可供出售金融资产(万元),2509,2463,2439,2450,1582,1602,1631,1640,19851,19840,19800,11543,11656,11613,11625,11625,13738,--,--,3140,5000,1000,5738,8398,--,--,--,--,--,--,--,--,0,0,--,730,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1000,1000,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,73766,92191,87562,94003,132974,118285,121495,118694,87009,43871,15309,10738,2753,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
长期股权投资(万元),513328,505436,420217,411540,360036,358524,348603,337307,297065,296503,285576,263667,233003,216005,211970,202561,197062,201776,197520,190234,31745,31656,30933,30871,30875,30771,30766,28984,28951,28889,27870,27837,27776,27833,18976,23749,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
投资性房地产(万元),75927,71820,39141,39141,18935,18935,10526,48502,20521,20521,20521,20521,26287,26287,26287,26287,10511,10511,10511,10511,9983,9983,9983,--,--,--,--,--,--,--,--,--,0,0,--,--,
固定资产原值(万元),--,857428,--,870972,--,755278,--,--,--,684501,--,656538,--,575657,--,586296,--,404053,--,393320,--,323304,--,328151,--,254266,--,251260,--,193919,--,190063,153213,134200,--,--,
累计折旧(万元),--,195646,--,184761,--,168419,--,--,--,140206,--,125724,--,111937,--,103144,--,93836,--,83285,--,74418,--,70863,--,60830,--,52684,--,44784,--,37718,33690,29612,--,--,
固定资产净值(万元),--,661782,--,686211,--,586858,--,--,--,544296,--,530815,--,463720,--,483152,--,310217,--,310035,--,248886,--,257288,--,193436,--,198577,--,149135,--,152345,119523,104588,--,--,
固定资产减值准备(万元),--,17,--,17,--,17,--,--,--,17,--,17,--,21,--,21,--,21,--,22,--,22,--,22,--,31,--,31,--,32,--,32,39,39,--,--,
固定资产(万元),681000,661765,678961,686194,579950,586841,570609,572796,540856,544279,537967,530798,485092,463698,471205,483130,306433,310195,308582,310013,251632,248864,246909,257266,192526,193405,195797,198546,156674,149103,149746,152313,119484,104549,112441,66885,
在建工程(万元),52588,49368,54933,52646,120583,114405,121246,116383,124462,123536,122928,98862,121458,129920,120645,102669,240025,218959,214785,197036,229855,209089,190284,162742,184581,140677,119533,106448,95631,83257,53125,46901,39111,37939,10566,28441,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
无形资产(万元),132171,129407,135221,136422,97996,98605,100663,100274,87843,88101,93604,88837,79897,80151,80470,80581,75628,75956,82263,82820,81087,80723,81372,83898,83821,82787,78286,79821,41651,39704,40475,41762,45250,38585,39453,28128,
开发支出(万元),24188,25031,20714,16471,41189,29386,22664,19084,21001,17611,14979,12889,12882,12142,9471,8588,10056,8778,7428,7053,7554,6597,5090,4556,3227,2418,1974,1916,1450,1380,1083,883,1308,1110,--,--,
商誉(万元),35623,35623,35623,35623,35623,35623,36303,35623,35623,35623,35623,35623,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,5179,1439,1187,1439,1187,1187,1187,1187,1187,1187,1187,1387,1387,
长期待摊费用(万元),1237,923,980,995,1131,973,925,392,--,--,--,--,--,--,--,--,21,150,168,181,168,302,314,317,525,683,701,676,268,174,151,128,194,213,179,336,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
递延所得税资产(万元),27821,25142,24153,24797,20112,22893,20962,18376,17588,15089,14007,13479,14921,14268,12823,15190,13318,12067,11434,11364,7827,7277,6349,5540,3737,3466,2586,2564,2404,2275,1699,1699,1500,1350,1103,1294,
其他非流动资产(万元),5351,5351,5026,3506,7559,3633,2727,2512,4600,3015,2134,1996,33079,31400,31569,31400,12345,12211,12164,12134,12106,12015,11926,11883,11782,11752,12653,10985,11874,11163,11018,10080,0,0,--,--,
