报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),27117,25926,24074,20700,24118,16673,17791,21105,26564,15275,23366,35948,36532,40553,35775,57950,47935,64056,86394,78303,71799,99681,102856,90117,82833,105660,103361,93830,91882,111599,112464,100629,97699,22880,5760,7296,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收票据(万元),3615,4472,5766,7207,6718,8045,5388,4125,1247,2560,871,1410,1846,1603,789,1046,1402,1424,1178,933,637,1134,607,828,235,564,221,85,138,255,80,93,161,59,208,491,
应收账款(万元),82128,81452,81337,78960,74208,63702,68433,60912,54393,43904,40804,35758,31241,28206,30586,31164,26103,24923,29486,26334,22133,19680,22926,19519,14358,16726,20212,14715,11308,11425,11978,11179,10920,12081,11184,8610,
预付款项(万元),31404,25858,28276,27893,32003,24758,30365,30173,28465,23646,28671,25893,28277,25381,27914,26455,32918,24491,23034,23911,26438,21234,12825,14357,17821,12548,11402,10668,8951,6265,8013,7781,6787,3694,939,1252,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,
