报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2005-12-31,2004-12-31,2003-12-31,
货币资金(万元),43961800,46220200,44126000,46640300,44700600,46081300,44422900,45765400,41917300,42824100,41561500,41791100,42939800,46747900,43927200,49116900,43342500,41603300,38322800,42287100,41346000,46451100,38130100,39163100,31157100,28637900,28352800,29659100,24393000,24077200,23104191,28864117,18745702,19420277,17074506,17190429,13827837,14766211,11041179,12782385,11150769,11982997,8217891,9386321,6334857,7161060,6451626,7647874,4040720,3953768,4969944,4726268,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
拆出资金(万元),7875900,5455300,5176800,3117800,3848200,3798900,5008600,1685100,5028900,4149000,3773500,5633600,5790800,3482200,3434800,5114900,7183300,11597500,9117300,8709100,11073100,14573400,15726100,21481200,23167100,18411200,21917900,22889900,16818600,3297300,2288484,2109936,1551068,1576055,1107228,1368432,752945,733362,854876,1319771,1009377,1065148,1372477,401667,867084,841182,1049269,1048612,613678,69737,246147,185276,
交易性金融资产(万元),44375400,35500000,32125600,36207200,39034000,36824600,33579300,35459500,41089500,18256100,16298400,12868500,4174800,4086000,3894900,4443500,3184800,2489900,3207100,4229500,2843200,2583800,2544600,2154000,1404800,2151800,1055600,810100,818100,1103600,327834,553695,823727,897741,651018,336348,497779,548348,327698,669121,748944,556146,817170,852507,1498536,1444597,1470106,918632,2044168,65289,78987,50264,
衍生金融资产(万元),4588200,3896300,4756500,2839600,3080800,1520300,1136800,1613700,753100,1365900,1168500,1393300,1242300,886100,641900,514200,567900,363700,562100,641400,325200,527300,397900,326600,288200,244500,169000,290700,230200,233400,233000,230137,227186,184939,132226,139903,157343,200808,281310,376464,165208,122193,173261,125743,51015,41285,8122,10654,12250,16860,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
预付款项(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收利息(万元),3509800,3445300,3679600,3040600,3014900,2738100,2864600,2389900,2296700,2256500,2370400,2174300,2302000,2449100,2638700,2476000,2531800,2665700,2403200,2324900,2065400,2037400,2217800,1953500,1649700,1616700,1790900,1292400,983600,1078800,765927,665534,574637,579659,518465,435433,513158,439030,489449,420271,331207,285792,372119,291990,313141,266746,311268,211531,212557,196407,78904,48370,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
其他应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
买入返售金融资产(万元),380500,5642200,974600,9311900,2166500,3457000,3618100,2793700,13375100,7468200,12722500,22592400,41452900,58580400,62673100,71276100,90981100,99480600,95833400,92109000,92884100,85615800,89369700,79279700,71185900,72016500,70780600,52697900,38705300,56106600,46643025,37400454,49686363,45964057,32761644,19588415,13858528,13803844,11673979,11727548,13373918,17218871,16862741,16995556,17991877,13609400,5265029,5646947,2387319,5051404,1769827,1483160,
存货(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,--,0,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
其他流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
流动资产合计(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,--,--,
发放贷款及垫款(万元),272916400,258530100,246584500,234883100,227503600,220317900,212293000,200736600,188874500,187953300,182505700,172482200,170172500,167383100,163145600,154925200,145054400,138855300,132862900,132068200,130994000,130780600,127590600,120454200,111908900,103880000,100473100,96894000,94555500,91712900,88035112,84256764,81413186,78165042,73830118,69196254,68417840,63159680,57541338,48998577,44657043,43349831,41243388,39302878,38678583,37129155,35416695,31823625,28637453,23745995,19859501,15322019,
可供出售金融资产(万元),58074400,55705800,52467100,50422100,58182600,67824900,63383000,58485000,40033600,39716200,42301000,42663400,37525700,40953600,43316500,40806600,29454900,30099700,24121700,26368100,24781600,22109100,23316200,19205700,17055400,13316600,15586900,14750500,14584600,14023300,14355672,14723185,12366426,9812778,10033620,11114815,9230191,8422223,7640495,7716799,6056117,4855916,4565589,4336487,9086512,11756872,12642437,7028221,7415970,11999874,5036633,2794478,
