报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),457511,187281,202147,183989,151972,153723,157041,104559,133058,145814,122833,114497,148314,130134,108242,90643,56330,42193,41291,42714,35628,35536,37788,62679,70209,75420,84446,101313,27925,19678,16238,13457,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),23308,10373,25954,15734,14257,13659,12611,18844,18110,26302,15745,10109,17877,29655,23967,16216,40472,30232,27744,11680,18796,9513,4272,1486,3231,4854,6094,4697,3315,3777,2897,3576,
应收账款(万元),248217,404568,233467,290918,160196,221402,178984,154378,101661,152566,133704,112522,64373,105184,88878,97164,60806,86991,52699,49405,38873,63706,39423,26020,24070,27996,25216,20208,19829,14008,14299,12656,
预付款项(万元),23787,8582,8113,10713,8483,2940,3449,1785,2541,1126,9193,8023,5768,2621,5236,1527,5265,3366,10045,6340,3917,5839,15058,11976,10266,2990,3577,3133,3724,2484,866,979,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),3,4,--,--,--,--,--,--,--,--,--,--,3,3,--,--,--,50,93,79,65,51,37,818,801,543,255,128,117,112,318,309,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),40877,23098,7936,9350,10389,9925,10209,10179,5809,6742,4037,3030,5432,5273,2734,1466,657,774,586,546,1711,3556,607,785,716,791,815,709,891,746,650,236,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
