报告日期,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),26215,17578,16573,9999,5967,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),--,--,--,--,--,
应收账款(万元),9495,7387,6067,4487,4820,
预付款项(万元),4264,3923,3180,1244,883,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),585,653,560,787,549,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),27670,23187,31434,24666,7394,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),3601,5204,2922,470,53,
流动资产合计(万元),71830,57933,60736,41652,19665,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),11924,--,5999,--,--,
累计折旧(万元),1439,--,812,--,--,
固定资产净值(万元),10485,--,5187,--,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),10485,10717,5187,4580,556,
在建工程(万元),--,5,7,--,--,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),593,569,586,473,1,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),1168,1274,1413,1768,347,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),1673,1121,1512,387,291,
其他非流动资产(万元),--,--,--,--,--,
非流动资产合计(万元),13919,13686,8706,7208,1195,
资产总计(万元),85749,71618,69442,48861,20860,
短期借款(万元),1960,--,4041,507,617,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,--,--,--,--,
应付账款(万元),13543,13770,18977,21094,8573,
预收账款(万元),1626,241,563,1509,--,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),3348,1915,1597,1382,788,
应交税费(万元),1690,2202,552,1157,2590,
应付利息(万元),9,12,20,8,--,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),4575,2837,3150,2980,1825,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),412,658,250,237,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),27163,21635,29150,28876,14393,
长期借款(万元),3291,5190,1821,2072,0,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),69,51,45,41,--,
长期递延收益(万元),1161,1244,1006,450,250,
递延所得税负债(万元),--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),4521,6485,2872,2563,250,
负债合计(万元),31684,28120,32022,31438,14643,
实收资本(或股本)(万元),12000,12000,12000,2281,2222,
资本公积(万元),11905,11240,10575,7488,2304,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),863,185,185,--,--,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),29267,19558,14095,7390,1691,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),53992,43180,37102,17214,6217,
少数股东权益(万元),73,318,317,209,0,
所有者权益(或股东权益)合计(万元),54065,43498,37419,17422,6217,
负债和所有者权益(或股东权益)总计(万元),85749,71618,69442,48861,20860,		
  
