报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),4209,4294,9573,20066,16229,13341,22603,29837,24920,33183,19579,21167,20307,21217,21327,37667,26520,30592,28890,36138,36321,36994,39429,47418,41507,6100,9183,11605,3933,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,1,1,1,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2371,1571,3213,4018,1107,1319,2382,4343,2200,1182,1682,2756,1053,538,1131,845,148,140,--,230,212,327,466,--,10,--,69,--,--,
应收账款(万元),56248,59189,53474,58922,64033,71711,68190,74645,79651,78696,73932,76799,72695,64509,57536,60334,27566,28918,24625,20655,17578,18577,14805,11817,15672,12633,10821,4751,3814,
预付款项(万元),4102,3657,5397,2302,1444,2185,1493,1227,1683,404,1059,325,1395,828,631,472,2241,2621,3165,2793,769,497,754,797,3037,2761,1462,766,1033,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
