报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),11280,13821,21488,20535,7009,5675,7946,4510,6196,3423,2302,522,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),12357,11705,10995,13430,12163,11383,9900,3457,1458,1847,409,446,
应收账款(万元),34668,30137,29715,30529,27860,22949,23539,18615,16089,13170,11039,3793,
预付款项(万元),861,685,239,499,360,114,36,102,55,184,77,29,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1830,1333,1416,1079,1214,1079,844,1538,1216,173,69,80,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),15041,13339,14114,11463,10558,10472,8452,7453,7003,5967,3520,1231,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1318,1812,1817,1688,1275,1273,814,21,150,--,--,--,
流动资产合计(万元),77355,72832,79783,79224,60438,52946,51531,35696,32166,24766,17417,6101,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),4345,4000,--,--,--,--,--,--,--,--,--,30,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,43924,--,40593,--,33383,33277,20756,14248,14385,1307,816,
累计折旧(万元),--,7882,--,6322,--,4904,3869,1941,1273,744,265,182,
固定资产净值(万元),--,36042,--,34271,--,28479,29408,18815,12975,13642,1041,635,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),37918,36042,33498,34271,29517,28479,29408,18815,12975,13642,1041,635,
在建工程(万元),13108,12050,13368,11539,14090,11367,9528,6086,5942,2315,4205,124,
工程物资(万元),--,--,--,--,--,--,--,--,--,95,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),9862,9933,10005,10075,10134,10205,10347,9929,9185,2883,2910,2966,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),3453,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),110,120,109,96,111,127,472,489,434,425,722,450,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),504,587,521,538,602,665,363,215,213,123,94,37,
其他非流动资产(万元),1670,1959,1593,1181,1016,1564,647,364,954,690,517,--,
非流动资产合计(万元),70969,64692,59094,57700,55472,52408,50765,35899,29704,20173,9489,4242,
资产总计(万元),148325,137524,138877,136924,115910,105353,102296,71595,61870,44939,26906,10343,
短期借款(万元),29610,17900,17155,25972,28994,23686,21000,20739,19565,11079,6226,4320,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),15477,16807,18320,19750,17498,17273,13885,4676,2229,2167,220,94,
应付账款(万元),14300,11422,12305,13561,12152,9642,11812,10446,9105,8207,4003,1146,
预收账款(万元),162,38,--,84,65,34,41,10,44,6,21,49,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),628,537,511,859,492,431,523,383,268,282,206,101,
应交税费(万元),617,250,42,365,695,607,1121,577,480,565,460,81,
应付利息(万元),45,48,45,172,95,81,65,59,56,43,19,--,
应付股利(万元),--,--,--,--,--,--,--,--,700,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),2285,2040,1756,1671,1381,1408,869,1553,559,539,522,31,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,2350,2350,1830,2000,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),63126,49041,50134,62433,63721,55513,51145,40442,33005,22887,11676,5823,
长期借款(万元),--,7200,7200,7200,12000,12000,14170,5000,6000,6000,2980,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),10320,10753,10962,11170,10772,10970,11235,5730,--,2177,--,--,
递延所得税负债(万元),10,12,18,18,24,24,29,30,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,5814,--,2169,2248,
非流动负债合计(万元),10330,17966,18180,18388,22796,22994,25434,10760,11814,8177,5149,2248,
负债合计(万元),73456,67007,68313,80821,86517,78508,76579,51202,44819,31064,16825,8071,
实收资本(或股本)(万元),12438,12438,8292,7959,5969,5969,5969,5969,5969,5850,2623,2236,
资本公积(万元),39520,39363,43195,30187,6968,6919,6820,6631,6117,4595,3256,272,
减:库存股(万元),--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
盈余公积(万元),1729,1729,1729,1729,1367,1367,1367,901,469,433,447,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
未分配利润(万元),19084,16985,17346,16228,15088,12591,11561,6891,4496,2996,3755,-236,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),72772,70517,70563,56103,29393,26846,25717,20393,17051,13874,10081,2272,
少数股东权益(万元),2097,--,--,--,--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),74869,70517,70563,56103,29393,26846,25717,20393,17051,13874,10081,2272,
负债和所有者权益(或股东权益)总计(万元),148325,137524,138877,136924,115910,105353,102296,71595,61870,44939,26906,10343,		
  
