报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),15932,14243,53445,41797,22642,35486,44760,32585,54911,56492,59383,43468,43068,15986,40340,35215,91914,77660,109143,35121,41149,41489,68270,93519,4223,19649,13475,15024,9637,14629,27901,15321,7607,15312,14320,12583,34875,40958,49324,29735,37477,41754,27821,35507,27397,40819,51543,45934,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收票据(万元),21372,33815,14146,22459,33299,34040,2901,25054,24026,--,120,198,200,32827,37139,15976,9839,5998,5998,50,60,--,176,10783,2579,3555,2264,5344,4600,7176,4826,12232,3438,5533,4698,1687,1570,3021,196,4020,2100,2659,2790,3334,1062,5189,900,2737,
应收账款(万元),32397,9424,12963,19769,40342,13890,37529,33406,--,22867,22505,34164,34362,23811,824,33552,20907,47551,47471,142999,6286,2433,1771,10,7717,8435,8792,6129,12758,14488,9889,8034,18290,21987,11075,11632,13482,14352,10961,10032,22628,22558,24475,21944,23775,25182,22761,23165,
预付款项(万元),9658,7673,6042,2028,5167,9479,7370,33,108,183,68,18,32,1222,1320,550,466,834,333,562,200,261,494,40045,11098,9859,13486,10807,10872,10709,12256,10325,12780,12482,13825,9603,12554,9492,29111,41999,46228,46014,38892,41255,38496,38616,32049,35241,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
应收利息(万元),--,--,--,0,15,--,--,--,--,--,--,--,--,--,--,--,--,--,138,--,0,1,1,1,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
应收股利(万元),--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,1172,1172,1172,1172,1172,1172,1172,1172,--,--,--,0,--,--,0,0,
其他应收款(万元),72,54,37,25,34,32,28,55,45,35,30,67,49,51,52,15,48,30,66,60,34,41,34,29,46,192,47,47,13,15,22,9,276,90,287,109,419,619,559,711,972,1374,1326,1523,1283,2200,518,1827,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
