报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),806958,670087,867852,830071,809453,772211,781801,777307,728231,686822,684323,700590,692716,618332,613823,723641,641716,619515,711799,573224,588318,573479,591734,545897,585577,484160,658942,550777,542829,761698,515678,456634,447129,367490,451161,462188,435605,548652,370945,363468,507760,354563,352663,313928,372196,233447,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,1202,0,1129,2685,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
应收票据(万元),21341,14323,18100,15700,15392,11950,9458,12587,4461,3844,250,--,185,195,2510,165,251,849,966,572,706,246,185,275,239,185,595,358,448,395,298,284,149,118,84,411,413,248,517,582,1089,903,776,915,496,553,
应收账款(万元),269700,231719,167983,136364,155369,206702,122483,129910,158088,170623,89868,112312,139011,180532,45941,121782,206498,265364,126148,121595,185669,189030,85783,111168,140734,170326,87960,115600,135374,87049,105334,83538,163822,152574,89708,109115,109984,107564,64172,63806,54996,61101,26464,35230,47717,41256,
预付款项(万元),39142,42591,75512,50719,20299,39003,34838,17886,27276,23103,30463,9924,9490,17143,102935,63678,19891,30382,20980,22802,19105,16834,21983,31033,31595,20544,25493,22650,25012,26510,35427,66963,77237,37733,29093,14257,19485,19746,14518,18021,19006,5839,9095,5817,7972,2939,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,6,14,14,19,19,28,28,34,34,45,45,40,40,50,50,51,51,82,285,650,588,361,203,784,557,329,102,784,557,329,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4980,14902,14902,--,--,--,--,--,0,0,0,206,563,0,0,0,3925,0,--,0,0,19404,0,
其他应收款(万元),4844,5853,5539,9936,6053,4753,6948,7725,6929,8200,10806,6197,6343,3388,10899,21240,100645,98064,166269,130380,97033,88833,58387,54139,45755,35134,27313,19211,6402,5518,8006,5324,68779,56454,39747,17025,15763,15672,13407,3849,3035,2809,11706,8884,8440,3006,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
存货(万元),90044,125062,82816,78427,69968,75928,58398,49867,45347,55996,53101,60161,48732,55950,54191,49886,48853,57264,48591,60757,56203,62791,62216,75771,67686,91561,71954,62923,44681,60589,48012,57981,40823,42547,41548,49100,53735,44814,43050,33147,35245,21157,20832,22278,19290,8474,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
一年内到期的非流动资产(万元),29401,19900,396,951,1347,1902,396,951,1347,101902,396,951,2459,--,3456,3456,6912,6912,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,9815,9630,9445,29260,20000,20000,20000,0,
其他流动资产(万元),92642,81110,65170,57839,63471,57355,46072,48919,38786,36507,28678,30170,15164,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
流动资产合计(万元),1354072,1190646,1283368,1180008,1141352,1169804,1060394,1045151,1010464,1086995,897885,920305,914099,875541,833761,983855,1024780,1078363,1074772,909349,947063,931241,820322,823297,886532,816858,872298,771560,754797,941809,712807,670775,798021,657199,652196,653248,635345,736900,517208,496985,630906,475734,443523,407609,496973,292360,
发放贷款及垫款(万元),7137,7137,9039,9039,9039,9039,14341,15341,15341,15341,17243,17243,17243,--,--,--,--,--,10368,10368,13824,13824,17280,17280,20736,20736,24192,24192,27648,27648,31104,31104,34560,34560,38016,0,41472,0,0,44928,0,48384,51840,0,0,55296,
可供出售金融资产(万元),501385,514118,538494,570591,570606,571203,544967,527185,519594,524503,498898,486932,461329,471677,361190,102537,105409,123287,134240,105681,111980,88122,82362,82791,77461,63706,68004,77547,86402,82877,81091,75767,129250,166418,112612,125587,95369,57335,100133,97990,71746,87124,20000,20000,20000,20501,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,30113,30034,29959,29883,29808,18745,18653,18561,18469,27473,27224,26970,0,
长期应收款(万元),441,115,115,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
长期股权投资(万元),755865,741040,755492,754955,774756,752917,766561,750761,777321,742300,752614,745672,750398,721545,731854,963516,974606,927004,895390,865824,862061,833685,810074,783373,782323,759175,751081,748562,749943,747443,798709,793039,695340,678612,663182,650914,659272,648059,641976,642991,625863,640040,588706,583188,564245,671916,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,0,0,0,0,
固定资产原值(万元),--,3930817,--,3918012,--,3753199,--,3394258,--,3283416,--,2914699,--,2774490,--,2729462,--,2612225,--,2573199,--,2500965,--,2418177,--,2330034,--,2221392,--,1982737,--,1960804,0,1960046,0,1809987,--,1807680,0,1791801,0,963444,0,899052,0,882672,
