报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),122376,122791,134447,70717,83244,79579,78936,57268,62959,67360,81189,36031,29078,29899,31970,24691,11548,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),14014,18951,13841,2696,6977,2738,2663,67,183,--,--,--,--,--,5,--,--,
应收账款(万元),172397,173182,184921,150313,149696,106797,121999,17741,14975,19532,21624,22763,22216,23696,17697,10211,5330,
预付款项(万元),2200,2994,1771,3770,1826,1707,1130,1515,1995,97,122,41,94,53,92,83,19,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),38,20,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),11082,13412,11967,14277,12629,10835,10644,8104,3616,3966,1794,857,654,885,1636,301,332,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),149271,117722,128418,102677,87590,77427,73941,7354,6357,4708,5565,4377,6001,4070,4740,2350,1006,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),1245,1110,1604,1863,1452,942,970,307,220,216,--,--,--,--,--,--,--,
流动资产合计(万元),472625,450180,476972,346312,343414,280025,290282,92356,90305,95879,110293,64069,58043,58603,56139,37636,18235,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1000,1000,1000,1000,1000,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),140466,123431,114712,107177,105099,109095,105665,93475,84389,70903,59999,43501,34969,27881,16216,11882,7057,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),4,5,6,7,7,8,9,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),11254,--,10396,--,9513,--,9367,--,4544,--,3941,3760,3714,3693,3566,3405,--,
累计折旧(万元),4049,--,3658,--,3382,--,3172,--,1328,--,1268,1135,1000,939,723,467,--,
固定资产净值(万元),7205,--,6738,--,6131,--,6195,--,3216,--,2673,2625,2714,2754,2842,2938,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),7205,6820,6738,6403,6131,6049,6195,3851,3216,2821,2673,2625,2714,2754,2842,2938,2697,
在建工程(万元),999,444,384,326,257,233,57,406,--,109,58,56,--,--,--,--,11,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),35,45,54,61,70,49,51,45,28,22,23,22,22,23,29,26,21,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),79322,79322,79322,79322,79322,79322,79322,6019,281,281,281,281,281,281,281,281,281,
长期待摊费用(万元),697,805,976,363,364,113,122,131,141,153,--,--,--,--,17,35,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),5463,5188,4884,3248,2871,2819,2568,450,354,334,313,253,236,232,178,94,53,
其他非流动资产(万元),10393,6634,6666,6639,65,23,9,13,413,172,158,--,--,--,--,--,--,
非流动资产合计(万元),245584,223693,214740,204545,195186,197711,193999,104391,88822,74793,63505,46738,38222,31171,19564,15256,10119,
资产总计(万元),718208,673873,691712,550857,538600,477736,484281,196747,179127,170672,173798,110807,96265,89774,75703,52892,28354,
短期借款(万元),86374,80353,96972,82503,86704,75004,57800,32800,26300,30300,30300,22500,20500,20500,23000,17800,6200,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),14839,15508,5164,3000,4000,6294,1884,--,--,--,--,--,--,--,317,--,--,
应付账款(万元),164567,127171,147059,93291,86449,56833,77648,24419,18950,17882,21380,22862,23572,19661,18437,12337,6944,
预收账款(万元),3605,2077,2842,690,416,788,1608,--,--,--,--,--,--,--,--,--,--,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),3356,3381,4523,2311,1536,1916,5230,2724,2818,1719,2407,1865,1454,1532,945,489,320,
应交税费(万元),5831,4919,6567,2451,4290,2469,4170,511,995,3087,3319,3198,2187,2109,1727,1133,712,
应付利息(万元),2157,2342,1505,542,139,1109,767,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),349,349,349,349,349,349,349,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),25495,31625,22770,24635,30351,30553,28968,14421,10404,141,81,74,57,52,54,49,165,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),16333,23928,24706,13466,13050,333,578,--,--,6200,6300,--,--,--,--,--,--,
其他流动负债(万元),22266,20508,17231,13870,12238,6283,8233,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),345175,312162,329689,237108,239522,181931,187235,74876,59467,59329,63787,50500,47770,43854,44481,31808,14341,
长期借款(万元),19861,20721,22379,37414,30151,35384,36267,13217,14100,7400,7400,11850,6500,6500,--,--,--,
应付债券(万元),49779,49756,49734,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
