报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),24825,29541,24350,30537,22257,23184,19617,19970,17294,16278,16776,17777,12383,14886,13822,10509,28810,26669,29920,32777,36236,37294,41290,43220,44295,45104,52423,4956,6076,10076,4280,2820,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),20348,15338,17389,14414,13963,14689,9687,5099,5475,6029,6695,11210,4539,8594,5688,11435,2522,1298,1070,990,1000,1288,367,304,139,520,60,278,340,285,--,--,
应收账款(万元),25358,27289,27751,28359,30761,29690,35571,39245,34223,35394,32521,34024,32444,31897,31885,33410,24092,21663,16144,13346,14601,14006,12173,11984,10478,9002,8467,7440,6184,3808,3040,2214,
预付款项(万元),2586,3737,3307,2851,2922,2148,2632,1165,287,330,939,863,2069,100,475,432,749,2556,1601,1481,1704,1525,2133,1199,1134,464,194,453,197,104,487,55,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3708,3460,3276,2984,2945,2808,2971,2784,2953,2736,3702,1469,557,1277,982,924,135,106,133,129,186,188,203,229,263,201,199,690,596,506,166,148,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),10059,10427,10100,9809,9857,7550,7173,7358,8448,8328,8300,7149,10507,9968,9304,9476,5254,4808,4839,4630,4137,4013,3204,3048,1916,2274,2708,2855,2611,1797,2798,2078,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),504,642,662,347,136,136,123,422,565,645,510,194,126,355,153,238,119,23,19,341,63,36,18,26,12,14,--,13,0,1,7,1,
流动资产合计(万元),87389,90434,86833,89300,82841,80205,77774,76043,69244,69740,69442,72686,62625,67077,62309,66423,61681,57123,53726,53695,57926,58349,59388,60009,58237,57579,64051,16684,16004,16577,10777,7317,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),3579,3655,3654,3808,3929,3997,4068,4139,4195,4266,4344,4424,4302,4369,4448,4522,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,81680,--,81061,--,80506,--,80316,--,79441,--,79165,--,77501,--,77034,--,70767,--,70194,--,12422,--,10304,--,8546,--,8130,7703,5429,4567,4200,
累计折旧(万元),--,20477,--,18970,--,17532,--,15984,--,14263,--,12538,--,10662,--,8362,--,6415,--,4363,--,3446,--,2766,--,2328,--,1957,1627,1320,972,723,
