报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),23047,29876,28488,35675,36131,26973,31338,41065,39846,29746,32473,41142,39961,32390,32097,54208,44517,33249,40581,51476,35412,34870,47483,61416,64835,9021,18679,19219,15493,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),486,1518,948,1281,1172,902,1306,936,521,1576,1366,245,2787,4696,2496,1982,6797,8021,4267,2512,1360,860,729,105,422,962,4733,30,1170,
应收账款(万元),82369,81594,82054,81764,78477,81813,69658,76305,78794,86136,75246,80792,82097,83572,76955,79600,63605,63441,54196,59386,53353,53682,50287,54032,44126,44931,36886,27671,15761,
预付款项(万元),4225,3179,3145,1297,1424,1308,1494,1095,2201,1903,1890,2110,5373,2995,4425,3861,9496,6080,7003,4465,8112,7157,7287,7145,10949,9640,10564,7419,1398,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),5934,5935,5254,5076,6669,6429,6501,4470,6793,7374,6773,5417,8496,8769,9894,5901,11651,11234,9130,5664,12790,11911,9091,5244,8792,8573,3077,2399,23269,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
存货(万元),39692,37816,36492,32665,34436,30595,33038,28094,34094,27712,31972,26888,31907,26880,34205,28601,49161,42034,43195,31177,48719,36757,34894,25974,45110,37694,34307,30868,31891,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),579,447,286,175,760,921,42,110,247,292,88,256,3,14,7,63,1,0,7,77,6,3,3,3,--,--,--,5,--,
流动资产合计(万元),156332,160365,156667,157933,159069,148942,143376,152076,162497,154740,149808,156851,170625,159316,160078,174216,185228,164058,158379,154757,159752,145240,149775,153920,174234,110822,108245,87611,88982,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,577,577,577,149,99,79,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,19,40,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),7091,7194,7333,7402,7506,7610,7714,7818,7861,7964,5612,5685,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,
固定资产原值(万元),--,79748,--,79484,--,78492,--,78562,--,78175,--,80576,--,83820,--,83793,--,81609,--,61267,--,46933,--,40384,--,39929,44488,38150,--,
累计折旧(万元),--,31560,--,29647,--,27775,--,25882,--,23791,--,21703,--,20042,--,17888,--,15724,--,13788,--,12490,--,11114,--,10094,10929,8635,--,
固定资产净值(万元),--,48189,--,49837,--,50717,--,52680,--,54384,--,58873,--,63778,--,65905,--,65885,--,47479,--,34442,--,29270,--,29835,33559,29515,--,
