报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),31595,34029,25686,24991,55879,54312,46641,44532,37672,20671,19873,26912,29834,29909,32502,42009,48851,53523,58584,57644,61722,65658,65290,74942,79742,3695,1666,5547,2685,807,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
交易性金融资产(万元),18519,18509,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),5936,5798,1979,2679,3335,3149,1155,655,689,537,787,1935,1430,1028,263,2747,1725,700,1267,3005,1811,1612,1200,200,869,713,--,250,5,--,
应收账款(万元),32022,32837,54512,58023,55487,54237,49313,51478,47431,50865,51412,50344,41459,46960,41319,37623,37340,42066,34457,34900,35613,36003,20479,20484,22454,22259,14626,15886,10501,6466,
预付款项(万元),8192,4570,62478,6419,6053,2436,3031,3109,16685,5183,12038,11423,12670,10720,13369,10715,4550,3230,2897,3023,2568,2170,4080,3954,2051,854,914,139,226,260,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
应收利息(万元),19,13,8,2,19,20,11,2,27,19,0,0,119,246,137,60,22,190,--,--,7,223,--,0,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
其他应收款(万元),21329,16455,10864,15965,16100,15909,3093,3320,6989,5599,3663,3342,3466,2895,2276,1828,1334,1043,732,697,773,681,803,625,519,100,111,37,29,474,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
存货(万元),12000,10983,13324,13899,13805,12930,19280,18171,16505,12715,12193,14218,12240,10458,10368,10057,9725,8074,7229,6357,5656,4972,8900,3498,3326,2445,2727,1312,592,--,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
其他流动资产(万元),3666,3698,75090,87207,72345,77310,4073,4060,2463,14747,91,8,74,82,11,0,87,1164,153,153,110,52,52,0,--,--,--,--,--,--,
流动资产合计(万元),133278,126892,243941,209184,223022,220301,126597,125327,128462,110337,100057,108181,101292,102298,100246,105040,103635,109990,105319,105779,108262,111370,100803,103703,108961,30065,20044,23172,14038,8006,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
可供出售金融资产(万元),3500,3500,--,--,--,--,--,--,716,716,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
长期应收款(万元),24748,24088,1563,1696,1581,1502,5913,6113,5913,5913,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
长期股权投资(万元),4183,3892,3657,3021,2687,2181,2854,3307,533,484,1201,493,1187,1186,301,300,300,--,--,--,--,--,--,0,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
固定资产原值(万元),--,31628,--,35192,--,36805,--,34449,--,36556,--,34906,--,18720,--,16824,--,16455,--,18246,--,11090,--,4765,--,2069,2053,1564,253,23,
累计折旧(万元),--,11184,--,13394,--,12484,--,12869,--,9489,--,13589,--,5077,--,4064,--,3033,--,6711,--,1264,--,509,--,331,220,117,27,9,
固定资产净值(万元),--,20445,--,21798,--,24321,--,21580,--,27068,--,21317,--,13643,--,12760,--,13422,--,11535,--,9827,--,4256,--,1738,1833,1448,227,13,
固定资产减值准备(万元),--,934,--,484,--,484,--,0,--,--,--,--,--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),19176,19511,20981,21315,23063,23837,20930,21580,22550,27068,18822,21317,13087,13643,15235,12760,13384,13422,11324,11534,10944,9827,8213,4256,2579,1738,1833,1448,227,13,
在建工程(万元),40007,40011,44169,43758,43549,42271,40113,32641,20623,20190,18804,16594,12899,10806,7643,9061,8204,7996,6316,5605,5064,4961,765,749,37,37,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
