报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),31801,47126,45630,34888,37235,39062,47949,40859,59310,32472,27183,33767,44641,13167,14137,14412,11515,11638,13579,16365,13732,16451,17652,20020,18153,23086,7154,9682,7427,4547,2068,
结算备付金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),9463,13296,12687,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),11238,15782,12323,12332,12321,12563,16168,13685,10353,10882,11228,8778,6027,3947,9588,8200,7267,5974,6392,4436,4242,4091,2710,2109,2938,2455,1994,1023,99,170,214,
应收账款(万元),164276,153778,95117,93259,85312,61832,46596,47148,43530,42601,38475,37926,33929,16337,15311,16271,15368,10453,10876,12550,12326,10476,10720,13116,13673,12157,8581,7809,5824,2860,2801,
预付款项(万元),19787,14184,6802,8482,4884,5925,2273,3973,4248,3849,1697,1999,1864,452,281,258,195,335,1527,512,1149,999,598,1928,1608,1469,1196,248,1055,82,123,
应收保费(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,
其他应收款(万元),11379,13412,11141,9305,7703,3666,4159,3975,2288,3009,1557,1517,1373,721,777,465,424,1245,752,461,791,1328,760,554,363,515,619,647,413,399,328,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
