报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),2774776,2650876,2544343,1254288,1030276,997022,1379868,1385566,1340223,1041448,850651,817107,897956,932558,368223,382479,250016,188265,242537,287303,284272,271007,391816,146286,328262,286007,255138,203888,264348,286340,286870,254762,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
交易性金融资产(万元),--,--,3609,3807,5333,5560,--,--,908,484,--,203164,--,--,--,--,--,--,1007,938,1066,1089,1053,6086,6155,6163,6168,6919,6491,6410,11278,66333,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应收票据(万元),182368,175069,154111,137216,100948,95086,113476,138644,80599,60208,50952,58377,109959,115814,183480,162017,142405,159140,132321,106416,103375,122016,105685,--,105740,--,145677,125567,96198,85148,41367,37177,
应收账款(万元),303379,214463,255230,194749,190567,146181,69767,49942,83951,74425,88107,102615,111077,85136,98959,99436,82566,80568,75032,69886,79733,64073,76785,6218,76607,12059,67065,80571,85344,58376,31383,28635,
预付款项(万元),18345,11058,45980,31106,48131,29557,47514,48596,27646,22711,18691,19638,30804,27245,23429,27115,32538,29735,21763,23678,28683,22740,37501,--,28713,--,26291,26985,27301,11973,1391,4382,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,0,
应收利息(万元),60901,65670,16780,2228,4386,4049,9335,9150,9323,8630,17897,12649,13773,5530,3994,1275,251,45,1975,1892,1419,1150,134,--,480,--,2285,514,1551,1122,1396,1937,
