报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-03-31,2007-12-31,2006-12-31,
货币资金(万元),4151631,6088639,3727569,3502938,3517451,4559498,3945896,3530353,3456844,3936869,3796853,3463759,2219311,1831201,1687445,1913652,1928987,1640014,1285146,1366885,1282335,1504469,1015846,1281041,2296227,2373033,849483,1303710,953010,1452605,992331,1116895,724038,1289151,982268,999822,912979,1172277,1122648,389722,827152,583559,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,--,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,120000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,--,0,0,
交易性金融资产(万元),908532,256929,93643,79835,73456,73192,286,127847,302,342,507,526,1,1,1054,931,890,1099,1335,1425,951,959,746,807,2145,4764,739,1517,1637,1751,2093,1764,2242,2425,2781,0,--,10000,11530,18388,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,--,0,0,
应收票据(万元),1384478,2707127,1765111,1245686,1377396,1509995,1031075,829736,832817,1016649,733305,646127,531080,669374,454733,355129,390257,619620,353464,380793,498566,373560,212618,159248,244006,420145,157578,178734,141201,170993,66483,87360,102422,99910,90154,74717,55127,39965,48453,31414,48731,35452,
应收账款(万元),8475499,7767294,9570501,9661020,7866642,7405287,8217090,7960957,7491325,7251440,7234135,6610524,3247329,3354185,4225571,3840471,2967424,3412081,3133117,2618030,2711452,2661878,3451886,3522116,2088433,1368942,3509328,2662587,2286996,1112435,1411299,1441004,1327682,663816,910099,793515,695764,599558,673105,585861,402042,349681,
预付款项(万元),1263737,1067786,1206078,1171512,1409054,1187225,1289344,1064379,994144,919463,1188957,1029911,612006,468673,688368,705371,732544,487572,379655,313352,383315,505527,447326,226223,298113,241903,613127,379771,627258,304593,568595,408353,549058,364476,544635,423919,533923,355579,436416,288827,234351,134244,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,--,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,--,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,0,--,--,--,--,0,0,
应收利息(万元),8155,5485,6621,6350,4346,2598,2891,2213,1758,779,910,3547,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,0,--,0,0,0,0,0,--,--,2390,--,0,92,
应收股利(万元),4443,4168,8258,8226,8034,3965,1878,9326,5915,736,2757,3366,885,954,469,21069,1069,1069,1125,1125,26125,26125,1125,1125,1336,1125,2250,2417,27417,27417,2828,2421,2250,2250,2378,63,2289,230,4248,4519,4589,492,
