报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),178677,123196,131956,138212,101804,102214,91560,77646,117373,116831,95915,149913,122039,66134,41141,57040,42679,44627,35395,37633,39599,41493,61601,84846,96561,147293,98408,115811,143031,146526,27595,39263,28570,46360,17649,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,126,126,10,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),8765,7089,9618,14314,14842,6150,8014,7938,11545,7074,6088,5051,3732,9470,7693,3705,5791,5914,9757,5265,5239,6549,11429,2518,2047,7348,4664,5963,1641,3114,1601,3225,131,976,272,
应收账款(万元),46449,39547,39390,53724,65517,67742,48542,54700,53641,49302,49450,77843,28809,35902,21665,21778,19961,21832,11124,16886,14184,10553,6097,12857,9391,9653,7380,8652,6785,10400,5773,2522,2117,3732,541,
预付款项(万元),29022,36706,65826,38994,27579,41414,53549,29244,30767,45466,36091,61591,29962,40004,41934,24185,48224,27806,38397,38577,25619,29306,38384,94432,103617,123993,108527,78096,56462,57098,40538,31642,24773,12785,27244,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),402,285,237,302,307,255,268,482,272,486,465,605,507,265,216,165,165,147,134,224,70,161,267,508,444,232,603,--,523,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,0,0,0,0,
其他应收款(万元),11152,11434,9763,11296,11207,11249,8194,7012,7667,7757,7035,9309,7534,7050,2579,3618,2990,3069,2437,3534,3157,2489,1910,2295,2025,1672,1201,2868,2648,2809,1331,1068,527,2209,2964,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
存货(万元),141756,145483,111289,114543,129119,124935,121766,87191,94238,121652,137881,70777,101829,94387,101448,88168,89687,89993,74723,55823,68777,75556,91436,90609,92949,67677,71323,47939,45035,46182,42677,34508,32360,38117,19540,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),24565,18861,17717,17102,19789,11316,17914,13539,15307,10773,16772,7029,7750,4891,5997,6219,7061,5812,6953,6551,6659,5523,5529,--,--,--,--,--,--,--,0,0,0,0,0,
