报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),37415,37324,37953,44354,689,480,3641,4064,6296,893,651,571,3854,8902,17184,21546,29667,37175,52193,47637,49280,49569,54049,41991,43649,47236,50102,44869,45132,40372,43126,44953,37691,36418,35828,35525,32368,32933,30627,30603,28103,28263,27940,29674,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
应收票据(万元),54,183,106,--,553,645,470,218,166,363,557,821,1107,347,150,10,210,1642,2479,3651,4660,4778,5228,8380,8014,4515,4464,5204,360,4860,2599,2627,1490,1444,2287,2449,2621,1901,4176,5701,4488,3076,2490,3096,
应收账款(万元),1179,1002,534,1090,3146,2871,3182,3530,1955,3583,3068,3395,4057,3477,3747,3962,4326,4185,4792,5945,6678,6559,5133,4052,4122,4079,3934,3937,9685,8907,8990,8890,9902,10116,9773,9946,10297,10524,10552,11096,14194,14586,13805,13999,
预付款项(万元),17,171,16,25,752,604,156,126,1063,2176,885,673,627,353,315,324,49122,32725,16897,15054,16443,13248,1397,618,1973,960,1163,362,1144,1597,1467,618,1093,1541,1998,1111,2049,1701,2852,1310,4564,4461,3994,3292,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
应收利息(万元),263,151,--,--,--,--,--,--,--,--,--,--,--,--,63,63,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
其他应收款(万元),8,18,132,827,870,961,580,651,366,110,522,491,806,773,370,313,296,256,22,4696,364,382,377,307,883,1023,1244,7260,1614,1577,1625,1647,2443,2394,2345,2352,5165,5405,4939,4619,3327,2558,3378,2366,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
存货(万元),1574,1929,1849,1452,2535,2696,4629,4145,4180,4137,2970,2790,2949,3864,2530,2280,3275,4104,5878,4658,4501,5049,6006,4816,5050,5968,7863,6119,7090,7904,10212,8558,8552,8461,9544,10619,7174,7335,6882,6492,9471,9369,10288,11524,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
其他流动资产(万元),34,108,157,56,4595,4855,5178,5153,5077,5239,5482,5555,5,5,5,5,2017,17,126,126,142,3142,142,142,50,50,50,50,72,72,72,72,109,96,96,96,960,113,113,113,--,0,--,113,
流动资产合计(万元),40544,40886,40749,47805,13139,13112,17835,17887,19103,16500,14133,14295,13405,17722,24365,28502,88913,80105,82387,81767,82067,82726,72332,60306,63742,63831,68821,67802,65097,65290,68091,67365,61279,60469,61870,62099,60635,59911,60142,59935,64147,62313,61894,64064,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,--,--,0,--,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
长期股权投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,102,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,159,159,159,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
投资性房地产(万元),--,--,--,--,2028,2044,2059,2074,2089,2105,2120,2135,2151,2166,2188,2196,1939,1953,1966,1980,1993,2007,2020,2034,2047,2061,2074,2088,2101,2115,2128,2142,2155,2169,2182,2196,--,0,0,--,--,0,--,0,
固定资产原值(万元),--,225,--,45,--,88266,--,88254,--,92568,--,23198,--,21555,--,19716,--,20525,--,20412,--,71693,--,71601,--,72383,--,73999,--,82939,0,82913,0,82447,--,82101,--,81132,--,80707,--,91604,--,90296,
累计折旧(万元),--,18,--,9,--,12032,--,10546,--,10086,--,9917,--,8999,--,8926,--,8886,--,8425,--,39496,--,39030,--,37767,--,37481,--,40920,0,39031,0,37369,--,35445,--,33579,--,31664,--,35612,--,33385,
固定资产净值(万元),--,207,--,36,--,76235,--,77707,--,82482,--,13281,--,12557,--,10790,--,11639,--,11987,--,32197,--,32571,--,34617,--,36518,--,42019,0,43882,0,45078,--,46656,--,47553,--,49042,--,55992,--,56911,
固定资产减值准备(万元),--,--,--,--,--,7977,--,7977,--,7818,--,7818,--,7784,--,7784,--,1638,--,1638,--,20277,--,20278,--,26194,--,368,--,65,0,65,0,65,--,65,--,65,--,65,--,65,--,65,
固定资产(万元),219,207,207,36,67513,68257,68973,69730,73278,74663,5532,5462,4701,4772,3035,3005,9989,10001,10245,10348,11721,11920,12074,12293,7754,8423,35625,36150,40969,41954,42913,43817,44488,45013,45678,46591,46858,47488,48145,48977,55003,55928,55884,56846,
在建工程(万元),1009,916,5,--,5320,5320,5308,5308,3791,3828,67885,67439,69700,70277,66722,55062,3889,3443,3334,3202,2862,2320,1013,143,83,24,24,3,4,3,0,0,311,640,493,372,2691,2441,2442,2322,2239,2092,1989,1814,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,188,186,187,187,186,184,178,234,186,186,186,186,
固定资产清理(万元),--,--,--,--,--,--,15,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
无形资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,96,96,96,96,105,105,105,105,109,109,113,113,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
商誉(万元),10266,10266,10266,10266,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
长期待摊费用(万元),227,252,282,278,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,110,114,--,--,--,0,0,0,0,0,--,--,--,0,0,--,24,24,24,24,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,--,--,--,0,0,--,--,0,--,0,
递延所得税资产(万元),13,13,9,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,32,32,32,803,803,803,803,754,754,754,754,1111,1111,1111,1111,806,806,806,806,190,190,190,640,
