报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,
货币资金(万元),293817,464229,344765,355653,466460,321681,266072,399356,365945,407994,439101,486403,515749,455784,350678,286037,447461,219097,266058,256870,228709,291616,423112,423463,605527,623225,592580,953515,417019,421446,374473,378104,422242,537351,609740,494279,506226,413060,649082,412152,192660,51031,43079,144537,71105,41056,43142,44844,49002,35812,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
交易性金融资产(万元),2000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,0,0,10286,7227,8984,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收票据(万元),30230,11557,39297,22414,160855,28650,142683,145695,157747,30918,104426,76987,68352,14177,48371,45949,75264,8199,86391,44664,121681,2804,94551,75823,87299,34971,61123,84046,165993,59584,197388,162261,161389,32186,175519,201236,122755,22,12110,6148,8644,9461,48988,61969,44324,11430,2075,4817,2815,3198,
应收账款(万元),926235,924681,976524,1079779,1123079,1272102,1175594,1047216,1256707,1260091,960512,899598,564880,522320,635123,523294,422402,387406,451527,480583,393527,306567,304726,299331,288496,241545,245133,184835,193250,136499,213921,238174,145787,98188,127749,140370,102730,73880,65310,76549,64011,60701,88139,69846,61994,35175,44652,38402,37586,35509,
预付款项(万元),59765,56637,65681,82539,92414,78966,118214,112275,85876,81996,83826,78758,75397,37354,66716,53604,71758,37609,39570,62393,86687,74510,101756,78439,95671,73330,154180,143905,187225,110794,100449,94353,136258,197081,77215,59430,216308,126792,73370,51208,78532,57894,46222,56215,59696,38862,36703,46876,52894,47906,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收利息(万元),335,246,178,142,112,184,148,84,84,189,201,112,117,192,231,129,152,182,262,131,201,59,213,142,--,268,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,0,0,0,0,0,0,0,
应收股利(万元),4704,4704,37730,51904,--,--,19358,--,--,--,15179,30358,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,--,--,--,--,--,0,--,256,--,0,--,0,917,917,917,917,0,0,0,0,
其他应收款(万元),--,104831,--,143839,134022,81268,107381,82461,95404,52862,85652,101886,249964,206866,97930,124712,152197,120338,96541,83393,71657,74123,96812,153184,124719,278137,487577,387641,46406,40428,49845,53205,44653,29219,22962,19257,23758,12711,29271,14975,15000,24387,23126,15063,24283,11209,12363,10471,6926,5120,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9870,9771,9180,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
存货(万元),377394,488837,540867,465869,555579,427286,498662,527351,515560,325601,446850,331710,260884,205939,259897,280802,314327,205110,319203,314569,346545,327179,246348,327015,411265,402107,413432,403813,658451,587891,520629,522113,786227,665119,405971,438757,565132,489474,362895,305572,325183,275509,366719,359038,376559,252028,261895,262752,290494,210219,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,0,--,--,--,--,--,0,--,--,--,0,
一年内到期的非流动资产(万元),33762,34668,16067,573424,480687,429606,354129,277056,270754,184861,206186,136473,116423,116626,100938,103701,97420,96149,119763,111971,94647,102500,30043,32176,25022,8979,15797,10340,19754,12472,11738,5613,17683,5204,10162,6621,8826,968,--,0,--,--,--,0,0,0,0,0,0,0,
其他流动资产(万元),75309,132683,116511,171942,193381,188676,188671,196947,161612,166535,105893,126217,100827,105704,73552,64747,48737,53072,56880,50383,63310,66436,48018,41193,42537,46302,2899,2325,12505,11353,1080,1764,494,1126,--,0,--,1181,--,0,--,--,--,0,--,0,0,0,0,0,
流动资产合计(万元),2708986,3502671,2503451,2947504,3206591,2828418,2870912,2788441,2909687,2511048,2481306,2268502,1952594,1664963,1633435,1482975,1629719,1127162,1436194,1404957,1406963,1245793,1345579,1430765,1680536,1708866,1982591,2180190,1709782,1380474,1469523,1455588,1714731,1565474,1429318,1359951,1545735,1118343,1192037,866605,684029,478982,617189,707584,638881,390678,411116,415389,448701,337764,
