报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),4928,5949,10408,6835,2842,3517,7657,9166,6035,7068,16924,15019,20254,1746,3574,2984,1801,3973,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2225,1857,2093,1194,1935,1688,1216,1233,539,679,742,206,227,154,461,500,435,197,
应收账款(万元),48152,44048,45498,43113,39949,38429,39887,33857,26870,25909,26236,26308,25246,23249,22289,17689,13168,10387,
预付款项(万元),2136,3362,1240,2827,2305,1868,1011,1563,809,3179,572,747,469,701,572,503,285,328,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1882,2488,1883,2443,3114,2862,2089,2565,2096,2648,1935,1945,1348,1702,1600,1419,1427,1229,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),17065,15328,12898,16246,14112,12257,10588,11210,7249,6301,5125,5256,4259,3947,4075,4736,6153,4356,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),122,117,106,92,35,119,45,224,105,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),76509,73149,74126,72749,64293,60740,62492,59817,43704,45784,51534,49482,51803,31498,32571,27831,23270,20471,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),3550,3850,3450,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),6480,6480,6230,9345,6099,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),24912,--,24789,--,21947,--,21819,--,10686,--,10095,--,7348,7149,7127,6697,6714,3883,
累计折旧(万元),7064,--,6350,--,0,--,4523,--,3275,--,2975,--,2747,2639,2533,2128,1786,1553,
固定资产净值(万元),17847,--,18440,--,21947,--,17296,--,7410,--,7120,--,4601,4510,4594,4569,4928,2330,
固定资产减值准备(万元),--,--,--,--,5142,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),17847,18102,18440,17734,16805,17007,17296,16894,7410,7417,7120,4533,4601,4510,4594,4569,4928,2330,
在建工程(万元),935,1004,988,695,641,623,408,312,4910,3058,648,2646,2230,2212,1856,984,--,1097,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),11152,11331,11534,11695,11152,11362,11571,11781,2209,2152,2167,2175,2190,2203,2218,2265,2302,1003,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),61454,61454,61454,61384,41309,41309,41309,41309,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),64,71,79,87,46,49,52,1,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),2292,2080,2126,1063,1025,1004,1052,875,526,510,495,440,428,422,413,329,255,247,
其他非流动资产(万元),959,509,509,1162,3506,6871,4270,1880,1087,383,383,297,265,273,268,93,--,--,
非流动资产合计(万元),104732,104880,104809,103165,80583,78225,75958,73052,16143,13521,10813,10091,9714,9620,9348,8240,7485,4677,
资产总计(万元),181241,178029,178935,175914,144876,138965,138451,132870,59847,59305,62347,59573,61517,41118,41919,36071,30755,25147,
