报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),14048,5654,7908,7600,10081,10506,5422,4896,22453,20012,6545,6970,7447,5815,4474,4405,4509,33867,29026,32352,29559,30548,31012,32417,32447,28892,32907,34664,39708,41356,42787,46347,46808,47305,51302,53382,55572,58979,6374,5856,2765,287,
结算备付金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
拆出资金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
交易性金融资产(万元),473,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
应收票据(万元),18868,12566,8692,6653,7082,6593,6978,8304,12704,6219,4852,4884,4135,5788,4680,3322,5721,3890,4709,2494,4735,5148,2755,4454,4440,3929,5003,3626,4673,5312,4930,3319,3495,2440,1430,1322,1101,847,2833,930,1359,20,
应收账款(万元),41984,39443,37901,35002,30030,30450,25588,24118,24016,18893,21276,21929,21095,19975,22917,24082,22786,24046,24240,24997,23511,22881,22787,20047,20969,18946,20175,20189,19879,20507,19154,18229,17139,16654,12653,11086,10629,9731,7694,6225,2681,2131,
预付款项(万元),3063,2563,1775,834,2506,910,3868,1191,1264,287,303,179,147,164,52,119,114,127,216,169,407,314,997,753,763,575,1916,1319,931,805,413,515,1060,1246,2478,2618,2155,1779,2458,2006,641,386,
应收保费(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
应收利息(万元),147,147,--,120,106,137,98,97,77,230,166,129,107,342,137,569,183,673,550,318,190,662,488,313,66,838,673,421,85,806,588,462,--,770,--,0,--,0,0,0,0,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
其他应收款(万元),--,791,1971,604,927,499,567,637,527,342,495,513,573,490,350,289,917,2500,628,451,473,416,680,633,3360,523,686,386,564,331,458,342,233,105,203,188,146,127,206,23,26,445,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
存货(万元),30195,25417,22478,22397,22381,17153,14318,13172,12878,6723,7758,7102,8109,8550,10441,9702,10245,10052,23146,22659,21863,21956,10886,10208,10795,10717,10569,9073,9179,7953,8106,7653,6898,5669,3723,3332,2661,2098,2454,2092,2508,999,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
一年内到期的非流动资产(万元),--,--,--,--,--,0,205,205,377,493,206,206,379,379,2,175,175,490,143,143,143,300,--,--,0,--,0,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,
其他流动资产(万元),356,572,787,6820,6750,9171,9210,7969,700,16700,28300,27500,31800,31800,31000,33000,31000,--,0,0,--,--,--,--,0,--,0,--,--,--,--,22,--,--,--,0,--,0,0,0,0,--,
流动资产合计(万元),110397,87155,81512,80031,79863,75419,66254,60589,74998,69900,69901,69412,73791,73303,74053,75662,75648,75644,82659,83582,80880,82224,69605,68825,72841,64419,71929,69678,75020,77069,76436,76889,75634,74189,71789,71927,72265,73560,22019,17131,9979,4267,
