报告日期,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
货币资金(万元),205218,185045,188924,201770,227858,211616,234207,245348,218653,83945,117331,97065,118694,106664,88999,105620,96981,94134,90196,124701,93497,44311,--,54321,31187,40444,41636,46220,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,832,555,651,191,74,--,--,--,--,--,--,--,3,2015,1222,444,688,386,11,1096,--,1158,325,261,--,128,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),5810,6376,7025,7252,6153,6373,4543,4378,5059,6745,4809,2566,4037,3050,1616,1868,2512,3103,3042,2305,3009,1637,--,2363,1998,3747,2824,2004,
应收账款(万元),87625,109745,129985,94644,68183,82319,106838,78808,66142,68188,93181,61711,56081,73584,94849,69524,49834,61193,78024,48485,34985,49096,--,42368,52755,54567,53904,39401,
预付款项(万元),2056,2312,3912,4635,4039,3033,6130,3262,3418,1804,2617,2822,2635,2478,3454,2681,4146,3329,3073,4077,4575,2551,--,3826,1718,2550,2288,4587,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),989,694,--,637,1330,953,1154,734,89,53,38,70,61,358,190,282,120,494,655,405,159,5,--,195,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),--,6308,2754,1763,2227,5811,2340,1746,2305,2852,1564,1344,2508,2034,2617,2075,1827,6283,1321,1215,1305,948,--,897,3983,4914,6750,3646,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
