报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),41636,54395,63587,48622,45881,46782,55752,39849,37814,33525,38918,31306,32258,25677,32385,21538,21758,18659,23045,23911,22767,23616,27185,29028,33831,39248,41970,45218,46325,44017,46597,47137,7375,5924,4394,4305,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),9867,11863,15607,11397,14285,14511,11113,5397,4597,5346,6622,7187,6832,7094,8007,2076,2801,1021,3070,2087,2423,1390,2370,1204,1161,1133,1980,949,552,552,1310,699,1052,653,738,589,
应收账款(万元),52913,43104,34777,47348,44293,33805,27789,42699,42383,34879,35175,37377,34893,31599,27725,22790,22664,21981,17905,21022,19688,17675,15034,16294,14923,12043,10402,11592,10976,10949,8855,9277,7904,7776,4684,4529,
预付款项(万元),12638,1630,1229,1659,1301,990,858,4759,4316,4105,3579,5853,4745,3634,2519,3104,2657,2838,2416,3341,3680,3607,2992,3242,3227,2700,4391,3416,2754,1901,1434,1682,1241,1472,1873,1805,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收利息(万元),4,123,12,126,123,83,4,109,96,66,85,81,36,76,52,89,116,143,76,52,65,71,55,30,499,347,305,92,505,342,254,--,0,0,0,0,
应收股利(万元),236,236,236,223,223,721,721,307,786,786,786,11,714,714,714,2,2,606,606,6,2,519,519,6,2,6,6,4,4,5,5,1,1,1,0,0,
其他应收款(万元),1284,1507,649,1392,1319,1372,491,1717,1461,1256,924,1656,1056,1146,915,560,559,620,504,729,653,580,413,482,411,196,129,223,185,244,124,344,387,130,295,220,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
存货(万元),28520,30445,35804,33876,30460,30375,28277,30934,27459,29311,29754,28379,29424,33565,33002,22120,21637,22066,21083,17195,16078,15334,13764,14402,14885,10110,8657,8014,7672,6131,2655,2006,1695,2447,1999,1268,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
其他流动资产(万元),466,591,1085,462,671,824,978,548,508,324,769,366,657,1175,1167,632,559,656,988,68,118,69,132,90,132,74,136,105,188,79,--,--,0,0,0,0,
流动资产合计(万元),147565,143894,152986,145106,138556,129464,125984,126319,119420,109597,116609,112215,110616,104679,106487,72912,72754,68590,69694,68412,65475,62860,62466,64778,69073,65856,67976,69612,69162,64219,61233,61148,19656,18403,13983,12717,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,126,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
长期股权投资(万元),12786,9807,9490,8796,8566,8454,8152,8001,7932,8186,7886,8298,7919,7882,7444,7363,7070,6569,6261,6474,6314,5943,5640,5859,5820,5532,5319,5110,5020,4658,4427,4263,4040,4302,4164,3589,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),120,122,616,623,629,636,643,564,571,577,584,590,597,563,569,--,--,42,43,43,44,44,45,45,46,47,--,--,--,--,--,--,0,0,106,110,
固定资产原值(万元),72115,--,71006,--,70365,--,68804,--,64978,--,63237,--,47531,--,46791,--,34163,--,33765,--,30815,--,29746,--,28101,--,23729,--,20840,--,19395,--,18867,18301,16972,14175,
累计折旧(万元),27962,--,26551,--,25179,--,23445,--,22161,--,20849,--,20090,--,18760,--,15285,--,14236,--,13464,--,12392,--,11446,--,10210,--,9526,--,8369,--,7854,7217,6038,4872,
固定资产净值(万元),44153,--,44455,--,45186,--,45360,--,42817,--,42388,--,27442,--,28032,--,18878,--,19530,--,17351,--,17354,--,16656,--,13519,--,11314,--,11025,--,11013,11084,10934,9302,
固定资产减值准备(万元),488,--,496,--,496,--,496,--,310,--,310,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
