报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),15155,17694,14503,20455,22498,21119,26225,24154,28741,26031,29432,30316,24830,29631,29908,49018,47284,56494,51719,53614,53400,66414,87013,111516,106086,101534,103742,140648,18379,22573,22146,26600,6772,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2000,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),255,440,1106,968,675,369,971,551,349,834,605,1348,468,456,695,1364,4032,4050,5218,2554,1054,717,1466,579,7,112,143,211,442,300,--,--,--,
应收账款(万元),9848,10030,10307,9727,8609,9229,8276,6968,7961,6821,6687,3756,5971,5187,5398,4821,7294,5431,3894,1742,2478,2528,5978,1690,2496,2064,2487,1315,2968,1585,721,1211,578,
预付款项(万元),18265,11612,16351,8201,14988,7247,7565,9908,14351,15885,11530,10909,14690,15650,15668,13641,30095,31702,42483,31099,43957,20726,18065,13671,26069,26265,28706,25595,27541,17907,19897,8729,6368,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,42,42,111,56,75,67,132,124,47,139,201,60,15,120,102,--,--,335,254,584,616,1440,2299,1714,1018,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),493,203,5775,99,196,158,194,55,60,54,169,37,98,122,219,112,183,102,444,168,736,213,352,853,266,509,760,564,297,225,3393,8161,18876,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),29495,31500,33747,34042,30314,31317,31127,30879,30900,33658,26537,26929,23855,22347,19888,20544,22703,23930,20657,19310,18748,19589,19576,16563,16584,17336,17280,15937,19050,14949,16341,6427,6161,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),582,720,26,10249,382,827,750,1067,229,1257,796,1537,418,785,793,1214,300,497,574,1343,200,200,200,200,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),74092,72240,81856,83851,77718,70340,75177,73714,82715,84587,75894,75034,70389,74193,72689,90817,111891,122206,125323,112083,121157,111004,134089,147371,153222,148838,153119,184271,68676,57538,62499,51128,38755,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),500,500,500,500,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),17847,17844,21609,21623,22074,21553,21643,21581,28070,27737,27773,27401,26187,32963,21897,21255,20907,20600,15400,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,189375,--,188810,--,181295,--,180391,--,144226,--,123563,--,46847,--,36942,--,35432,--,34781,--,32988,--,25870,--,24697,--,23386,--,22712,21189,--,--,
累计折旧(万元),--,35175,--,30276,--,26745,--,22125,--,18477,--,15680,--,14234,--,13005,--,11785,--,10640,--,9479,--,8462,--,7612,--,6848,--,6128,5463,--,--,
固定资产净值(万元),--,154200,--,158534,--,154550,--,158266,--,125749,--,107883,--,32613,--,23937,--,23647,--,24141,--,23509,--,17408,--,17084,--,16538,--,16584,15725,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),152152,154200,156418,158534,152239,154550,155926,158266,138466,125749,108028,107883,61919,32613,23459,23937,23220,23647,23824,24141,24826,23509,23193,17408,17055,17084,16249,16538,16398,16584,15725,13522,13478,
在建工程(万元),15956,15203,12862,11532,17876,14905,14620,10976,36554,48484,49065,47484,73366,92296,95173,82295,79125,71085,69259,65503,43329,43501,26905,13482,7805,7302,7337,21,20,3,723,926,244,
工程物资(万元),--,574,--,576,648,654,680,676,750,725,1319,1626,1762,1601,1222,1206,977,818,711,529,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),8345,8444,8542,8644,8708,8435,8533,8630,8562,8653,8742,8865,8943,9045,9148,9250,9348,9418,9519,9620,9625,9720,9749,7257,7309,7359,7413,7463,7416,7463,986,1027,1054,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),895,927,923,937,820,826,808,814,678,684,860,868,684,684,645,645,238,238,179,179,49,49,164,164,187,184,169,169,169,167,159,233,236,
其他非流动资产(万元),400,521,1839,1440,400,10400,10400,10400,547,547,547,547,400,400,400,400,--,--,--,--,--,--,--,1000,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),196095,198212,202693,203786,202765,211323,212609,211345,213628,212579,196333,194674,173260,169602,151944,138987,133816,125806,118891,99972,77829,76778,60011,39311,32357,31929,31168,24190,24003,24218,17594,15708,15013,
资产总计(万元),270187,270452,284549,287637,280484,281663,287786,285059,296343,297167,272227,269708,243649,243795,224633,229804,245707,248012,244214,212055,198986,187782,194100,186682,185578,180767,184287,208461,92679,81756,80092,66836,53768,
短期借款(万元),17850,24850,31200,39200,36000,38990,41990,23990,31500,24500,29500,32500,29000,28000,20000,24000,24000,22830,9000,--,--,--,--,--,--,--,--,15900,25100,20200,9800,11600,11700,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,1020,4000,2000,--,571,23291,27040,36894,12594,5234,3857,4200,577,10028,21038,36800,36800,18000,11000,4000,--,--,5740,5740,--,--,--,4000,6000,10000,4000,
应付账款(万元),--,10574,14912,14894,14649,16589,19369,20131,24696,23563,22434,29196,13496,11361,10403,6931,13141,7338,7521,7274,6647,6559,7612,4790,4787,4770,5419,5157,7645,6096,8915,5728,4199,
预收账款(万元),8373,6541,10071,8454,9218,7244,9942,9939,7647,5419,5394,6787,5397,3274,4444,4963,6330,2794,4206,4015,6050,6213,6468,5412,6888,6348,7974,8230,10041,6753,11550,6371,5882,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),1063,1113,1195,1421,1011,952,1046,1569,1169,1185,1508,1475,1134,1166,1428,1328,1002,937,1214,1076,836,846,1164,855,928,815,1153,715,840,1075,824,429,330,
应交税费(万元),1022,1304,2506,1655,1645,1062,2664,1344,1822,2101,2136,2725,1380,2186,2349,2993,2074,2625,1095,2596,1675,947,1358,3211,1552,812,923,5756,1003,1140,3546,1553,1707,
应付利息(万元),--,30,48,53,93,222,194,141,110,102,102,46,38,38,34,47,42,56,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1419,685,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),7912,6101,6264,6200,6777,6968,6338,4877,6767,6210,5687,4392,4726,4812,3792,3211,3854,3616,3367,3468,3027,2994,3343,2496,2600,2494,2900,3029,2298,2208,4805,9235,8808,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),46348,50513,67217,75875,71392,72026,82116,85283,100751,99975,79355,82355,59027,55036,43028,53500,71482,76995,63203,36429,29235,21559,19944,16764,22495,20979,18369,38786,46928,41472,45440,46335,37311,
长期借款(万元),1700,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7740,3540,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),5893,5949,6005,5863,5720,4614,4647,4681,2755,2787,2820,2852,2890,2252,2252,2252,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),--,0,0,--,12,4,13,--,161,113,55,--,684,2226,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2102,2102,2012,1040,400,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),7593,5949,6005,5863,5731,4618,4660,4681,2916,2900,2874,2852,3574,4478,2252,2252,2102,2102,2012,1040,400,0,0,0,0,0,0,7740,3540,0,0,0,0,
负债合计(万元),53941,56462,73222,81738,77124,76644,86776,89964,103667,102875,82229,85207,62601,59514,45280,55752,73584,79097,65215,37469,29635,21559,19944,16764,22495,20979,18369,46526,50468,41472,45440,46335,37311,
实收资本(或股本)(万元),115200,115200,115200,115200,115200,115200,115200,115200,115200,115200,115200,115200,115200,46080,46080,46080,46080,46080,23040,23040,23040,23040,19200,19200,19200,19200,16000,16000,12000,12000,12000,5564,5564,
