报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),34063,51502,28811,25102,40464,39381,34481,34962,12623,37437,46940,62545,28159,62166,31673,45642,22748,24835,21235,24655,26050,29721,80555,81523,80928,81750,86479,94460,16039,16429,26208,19455,5205,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),--,1240,1250,1500,213,934,437,555,293,813,581,484,306,838,296,203,559,510,3,--,160,160,165,363,565,1147,756,2253,995,1091,--,130,--,
应收账款(万元),--,5951,6485,5671,5520,5099,5193,4201,3498,3710,2950,3194,2406,850,802,692,596,686,465,559,287,272,298,445,394,388,478,535,302,283,275,62,88,
预付款项(万元),9829,8490,7857,6121,7489,7885,4534,4644,4019,3128,3855,1407,3670,3484,2885,2884,3670,3698,3824,3163,8149,3727,6341,6223,5766,6948,6365,5303,6750,5323,1960,1348,5819,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,160,69,617,266,1409,1094,738,117,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2105,1678,1810,1487,810,981,1484,1047,522,773,463,185,112,125,67,75,1364,2029,400,108,150,153,261,172,426,587,636,601,711,530,338,5503,5152,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),41459,41276,39448,36884,33180,30752,31330,25951,26660,23207,18406,16254,19801,17916,17288,18093,15448,14758,12851,12850,9763,9691,7628,7471,6357,5771,6270,5348,6769,7110,6776,3716,5463,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),65239,43256,50416,43095,18661,15960,13144,20110,21633,12096,14527,20058,46620,12738,44614,46239,68446,60604,67178,65522,57301,53200,70,--,--,3,20,--,--,35,--,--,--,
流动资产合计(万元),158248,153393,136077,119861,106338,100991,90604,91470,69248,81165,87724,104127,101074,98117,97626,113828,112832,107120,105957,106857,102020,96992,95935,96463,95845,97687,101743,108618,31567,30801,35556,30215,21726,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,10000,10000,10000,10000,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1262,1264,1269,21912,22102,21924,20618,20602,31439,30345,27969,10458,20193,18135,17136,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
