报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
货币资金(万元),354296,316930,284150,299575,284078,223655,239782,212391,268095,252862,155956,138615,133079,111458,119829,92033,84910,85867,98597,110775,165510,141175,111655,93882,81705,62215,78139,82520,63724,41600,43421,52635,72746,51674,24065,19303,17823,7886,8212,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56,56,56,58,53,60,60,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,56,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收票据(万元),1910,5771,6054,3230,1700,894,652,1587,1355,1188,786,312,1290,3309,442,467,466,1700,1245,596,1689,447,150,816,170,--,152,--,--,--,--,0,--,0,0,0,0,0,0,
应收账款(万元),260327,286861,262853,206930,248930,249926,181675,192638,172635,188756,194847,207606,169207,177863,144870,134741,113120,132259,106253,106025,88487,105423,88374,86338,66528,82863,62588,78428,42966,47380,40172,30789,26200,29231,31765,32830,23691,14175,10897,
预付款项(万元),40507,33924,42543,49110,30045,22077,25714,24946,19536,16891,22325,32288,23055,16945,24723,20006,15116,13606,22886,25803,18187,7831,11850,9457,8176,9090,11216,12041,8774,7427,10029,5739,4536,8427,12728,11827,9023,1355,1090,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收利息(万元),--,473,435,394,353,313,656,905,575,325,72,72,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,183,
其他应收款(万元),140730,118157,125384,112876,117576,103167,129552,118356,91776,112780,122272,120234,114682,112547,108064,98464,103211,104727,79814,83219,68537,50813,49429,45562,40109,34570,29221,15397,24676,39207,37557,16160,15599,9262,10634,12254,10177,7050,6701,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
存货(万元),358281,380391,395403,382439,347997,387699,328143,309076,277330,281705,250613,247025,222127,223301,231471,206626,181652,167462,180961,140626,115250,101493,123386,118538,108782,88741,105115,101862,73247,58297,62074,55362,57123,49397,54198,37577,29647,27066,18736,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
其他流动资产(万元),14290,17227,11708,16158,10552,10417,19213,19890,18157,19429,10620,1353,1560,1547,--,--,--,--,0,0,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
流动资产合计(万元),1170342,1159735,1128530,1070712,1041233,998147,925389,879790,849457,873936,757491,747506,665001,646971,629399,552392,498531,505677,489812,467098,457720,407242,384844,354592,305471,277478,286430,290248,213387,193910,193253,160685,176204,147992,133391,113791,90360,57532,45875,
发放贷款及垫款(万元),3200,3606,3659,3539,2901,3279,3418,3540,3148,3255,2930,2903,3265,3040,3954,4569,4577,4380,2852,998,2228,2985,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
可供出售金融资产(万元),4626,4626,4626,4626,4626,4626,4626,4626,4626,4626,4626,4626,4626,4626,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
持有至到期投资(万元),15871,19534,19743,27704,31968,33467,8878,13370,9959,11704,15611,10180,14887,16764,20179,21209,25195,25398,16528,19067,15900,15279,2700,2700,8350,1000,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期应收款(万元),316139,311239,250880,212739,218218,247298,265383,249524,216878,245005,213519,187770,184207,195452,172005,139012,160865,170136,148965,130855,135228,138975,95927,69609,68397,80349,67572,66565,47603,44923,41820,37680,--,0,0,0,0,0,0,
长期股权投资(万元),65934,65934,67257,67257,67325,67325,44258,44133,42577,42577,42241,41137,41137,41137,44626,44626,44627,46097,46168,46165,7660,6106,6209,6234,1788,681,1245,1221,377,1448,377,377,377,377,376,376,377,559,1101,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产原值(万元),--,127200,--,118882,--,118072,--,115962,--,113454,--,125216,--,124734,--,119998,--,118970,--,111383,--,107146,--,97147,--,95540,--,89016,--,77538,--,66256,--,59534,0,49550,47452,--,--,
累计折旧(万元),--,72801,--,70450,--,67295,--,65062,--,61930,--,60963,--,56469,--,52602,--,48424,--,45403,--,41791,--,41014,--,38576,--,41566,--,34860,--,29841,--,25571,0,21644,18261,--,--,
固定资产净值(万元),--,54399,--,48432,--,50777,--,50900,--,51523,--,64253,--,68266,--,67396,--,70545,--,65980,--,65355,--,56133,--,56964,--,47451,--,42678,--,36415,--,33963,0,27906,29191,--,--,
固定资产减值准备(万元),--,113,--,113,--,113,--,113,--,113,--,113,--,113,--,113,--,113,--,113,--,113,--,124,--,124,--,124,--,124,--,124,--,129,0,133,133,--,--,
固定资产(万元),52687,54286,49168,48319,49742,50664,49198,50787,50019,51410,54245,64140,66186,68153,69109,67283,70690,70432,68565,65867,63694,65242,54377,56009,57519,56839,48926,47326,41861,42554,37704,36291,35351,33834,27327,27773,29058,21776,10791,
在建工程(万元),315725,304251,261643,187289,146365,114530,75663,53084,22556,22189,20855,15575,14314,12927,10039,8714,8126,2166,1983,181,654,93,9119,5786,1989,1998,242,--,151,151,--,0,--,0,0,0,0,0,0,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
无形资产(万元),8077,8020,3457,3434,3441,3460,2658,2282,2263,2280,2829,4690,4687,4642,4368,4585,4381,4426,3827,3872,3724,3798,3009,3079,3162,3144,287,177,85,85,92,98,105,105,94,94,86,29,19,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
商誉(万元),1026,1026,1026,1026,1026,1026,1026,1026,1026,1026,912,1327,1327,1327,1327,1327,1327,870,318,318,93,93,93,93,93,93,--,--,--,--,--,0,--,0,0,0,0,--,--,
长期待摊费用(万元),11128,11118,9617,8144,6143,5513,7844,6371,6648,7011,2956,3443,3884,3790,3743,3852,3273,3583,2472,1931,1265,1495,1003,1440,1723,1686,1354,1489,1164,1113,1286,804,735,788,2445,861,871,1037,113,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,0,0,0,0,--,--,
递延所得税资产(万元),8678,8674,7984,7883,7746,7746,6035,5909,5919,5787,4808,4993,4954,5010,3318,3550,3576,3852,2761,3023,2904,2921,1952,1844,1884,1883,1522,1617,1142,1142,961,885,848,848,884,884,743,559,414,
其他非流动资产(万元),--,--,--,--,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,0,0,0,0,0,
