报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),28671,30699,17561,18634,13709,10294,13252,14624,10756,20117,3456,16635,11095,19966,25605,14530,17242,17591,88421,56162,61659,70219,102576,121947,125018,126354,141931,136402,130354,131202,138186,12331,10203,18039,9992,11562,8394,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,0,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,0,--,--,--,1025,1017,1008,1039,1023,--,36,35,36,37,35,35,34,31,38,38,37,35,35,44,43,40,40,46,35,68,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
应收票据(万元),4567,1860,5848,5036,2062,4216,3189,1645,2402,3660,1840,5073,4443,2844,4600,5935,3865,2365,2813,1402,2093,2875,789,235,3078,2561,1759,2758,3792,4033,1670,392,1860,1325,932,505,0,
应收账款(万元),33225,33545,29037,22419,16961,21047,23565,21045,16666,18526,17507,22087,15642,13231,13434,17665,13793,15137,18720,14595,11589,13267,15370,13808,8565,11661,10378,9252,8344,11057,13007,8612,7975,9358,10394,7340,4765,
预付款项(万元),4553,4910,1137,306,1650,1260,1945,672,1814,1286,1270,247,1492,1418,1154,668,1098,625,457,2390,2486,3260,3768,3141,618,1514,1160,431,1210,1685,1085,2044,3722,455,1601,691,19,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,0,--,0,--,0,--,0,--,0,--,--,--,--,--,--,0,0,0,0,0,
应收利息(万元),--,3523,3254,3197,4234,4165,5509,5190,4497,2873,5323,4264,2831,1537,4509,4090,1480,713,1126,980,815,658,154,2537,1722,1107,344,2202,1638,945,--,--,0,0,0,0,0,
