报告日期,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),11562,20487,32492,34847,52930,47545,42504,27593,32125,35170,13182,8547,15879,9497,7340,6624,10751,10558,9178,10184,13713,16972,20086,21996,27703,6712,5606,6569,194,174,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,--,1302,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),8509,9730,22479,24656,17230,15686,3774,3390,1460,2128,1802,3205,1422,4159,6579,9133,5868,8272,9470,4228,3755,5387,5105,5677,5376,3208,2849,639,163,--,
应收账款(万元),198433,178132,157162,172171,122696,103933,107089,150527,130300,115590,104390,51000,47876,59802,10418,11763,10996,11715,10405,9857,11730,8476,7620,7433,6039,2735,2948,2682,2394,1281,
预付款项(万元),8832,7192,6489,3908,5928,4671,4391,1740,3333,2101,2098,1493,2602,3481,3438,1538,15085,12111,12211,3888,11888,9199,10097,5086,3831,1264,1506,3599,507,319,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,957,821,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,100,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),13391,11050,6364,5445,3907,5589,19505,21437,18173,20857,8965,6466,9505,3058,895,816,1149,994,683,444,693,429,144,70,65,27,60,548,2,3,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),8062,9145,7346,5925,6656,6309,7181,4231,6257,5502,5900,5870,4866,9549,9477,7460,7499,7037,9085,4727,4207,5757,5893,4820,4242,3373,3398,3887,2491,630,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),3903,4266,4075,3997,200,808,1707,1821,--,--,0,--,--,--,--,--,779,--,5,3805,--,--,--,--,--,--,--,--,--,--,
流动资产合计(万元),252691,240001,236407,250949,209547,184541,186150,210839,192606,182169,136337,76581,82150,89544,38147,37334,52128,50688,51037,37134,45987,46219,48946,45081,47255,17319,16367,17923,5751,3709,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
