报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
货币资金(万元),5391,11916,9231,11448,9377,9041,10983,15340,22608,12307,100083,16232,23808,10852,13263,12508,14867,18653,17441,17081,35587,51343,49241,47544,56563,54530,53238,52468,56157,56762,54975,4841,4232,4172,2653,3363,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,35,--,3,--,--,--,--,46,69,--,--,--,--,--,0,0,0,0,0,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收票据(万元),--,--,--,--,--,--,--,--,--,--,61,557,1912,878,1825,75,82,427,241,37,418,29,97,164,65,277,349,10,--,5,590,3,8,356,32,13,
应收账款(万元),14004,13544,8685,4935,3690,7969,5120,3372,15652,12315,7689,8770,8612,11557,11652,18339,11059,9536,11459,12184,11997,7365,8046,9224,7211,7320,6996,7279,7587,6771,6594,8196,8170,8073,5934,7599,
预付款项(万元),35434,12258,3879,3,6,19,3,9,256,33,2422,710,1046,880,1140,1183,1354,703,1102,1090,1011,315,516,373,499,324,675,703,476,422,933,618,416,324,229,389,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收利息(万元),--,--,--,--,--,--,123,58,13,9,0,14,13,8,11,14,17,17,17,20,59,87,87,97,163,131,109,619,386,309,--,0,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他应收款(万元),18704,6276,4357,12729,11719,9383,13474,12623,3576,3286,690,819,583,572,499,271,108,69,100,41,60,33,30,45,630,647,496,77,23,22,28,475,485,471,109,340,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
存货(万元),--,92,--,--,--,--,--,--,--,--,5829,5694,6660,7644,8414,7816,6785,6797,5927,4837,4654,4625,4209,3918,3719,3820,3812,3528,3233,3484,3899,3931,3757,3549,3178,4037,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他流动资产(万元),3281,5241,34,31,387,374,27,15,37,16,--,--,5730,18288,18545,17708,18427,17336,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
流动资产合计(万元),76814,49328,26186,29145,25179,26785,29731,31416,42141,27966,116775,32796,48365,50678,55349,57914,52698,53573,36286,35294,53786,63798,62226,61364,68896,67117,65674,64684,67862,67774,67018,18064,17068,16947,12135,15740,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
可供出售金融资产(万元),--,--,4643,4643,4643,4643,4643,--,--,--,555,904,946,1369,--,--,--,--,17122,15017,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期股权投资(万元),28381,27481,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产原值(万元),--,1363,--,392,--,359,--,375,--,349,--,35635,--,36625,--,33071,--,31886,--,31336,--,23731,--,23008,--,17995,--,17637,--,17333,--,0,17051,16519,--,--,
累计折旧(万元),--,274,--,98,--,77,--,70,--,51,--,14592,--,14639,--,13612,--,12499,--,11879,--,8884,--,8143,--,7594,--,7300,--,6908,--,0,6127,5832,--,--,
固定资产净值(万元),--,1089,--,294,--,283,--,305,--,298,--,21043,--,21987,--,19459,--,19388,--,19456,--,14847,--,14865,--,10401,--,10338,--,10425,--,0,10924,10687,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
固定资产(万元),1490,1089,388,294,292,283,295,305,311,298,20729,21043,21793,21987,20561,19459,19482,19388,19685,19456,19774,14847,15064,14865,10328,10401,10350,10338,10213,10425,10444,10686,10924,10687,11126,7915,
在建工程(万元),--,--,--,--,--,--,--,--,80,40,4944,3877,3401,3777,4264,5074,2940,2297,1371,843,830,873,891,912,1076,859,675,713,462,345,305,127,116,153,305,1588,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
无形资产(万元),8978,9066,11312,7884,7888,7892,7142,7352,7684,7684,3427,3451,3431,3261,3296,3187,3209,3234,2887,2930,2960,2791,2843,2876,708,1213,988,1019,979,946,987,1014,1039,932,987,744,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
商誉(万元),212900,212900,209113,170774,170774,170774,170774,170774,191305,191305,6396,6396,8957,8957,21666,21666,21666,21666,24942,24942,24942,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
长期待摊费用(万元),23,--,--,--,--,--,--,--,--,--,99,117,74,87,83,79,50,60,69,78,87,89,98,106,115,126,--,--,--,--,--,0,0,0,5,13,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,--,--,
递延所得税资产(万元),28,43,48,--,--,0,--,0,22,20,340,406,328,368,141,238,133,116,135,151,149,81,73,83,68,67,55,58,59,53,67,138,111,131,105,99,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,1965,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,
非流动资产合计(万元),251800,250578,225505,183595,183597,183591,182854,178430,199402,199348,36491,38160,38931,39807,50011,49703,47480,46760,66210,63417,48742,18682,18968,18842,12295,12665,12067,12128,11713,11769,11803,11965,12190,11903,12528,10358,
资产总计(万元),328614,299906,251690,212740,208776,210376,212585,209847,241543,227314,153266,70956,87295,90485,105360,107617,100178,100334,102495,98712,102528,82479,81195,80206,81191,79783,77741,76812,79575,79543,78822,30029,29258,28850,24663,26099,
短期借款(万元),58741,57485,40524,10900,10900,--,--,15000,15000,--,--,--,2903,3575,3007,3044,1707,1226,922,--,670,--,--,--,--,--,--,--,--,--,--,2341,3885,2900,1800,4700,
