报告日期,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),10719,16525,7117,15752,4659,5159,5610,4888,5634,7831,2923,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),237,1715,1860,1936,1872,2215,3057,1249,1151,2720,1808,
应收账款(万元),6734,6460,7841,5387,5761,5528,3986,4240,3768,2050,3033,
预付款项(万元),10,32,37,4,35,10,18,48,105,359,415,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),278,56,246,50,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),370,353,435,250,638,470,492,500,436,341,1723,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),6157,5745,5030,5105,4981,4258,3747,3362,4808,2220,2599,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),23000,14000,23000,16000,--,--,113,17,--,--,--,
流动资产合计(万元),47503,44886,45566,44484,17945,17640,17022,14302,15902,15521,12501,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),150,150,150,150,150,150,150,150,150,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),17,25,41,53,60,77,109,--,--,150,150,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,30282,--,29644,--,27456,18113,12946,12476,--,--,
累计折旧(万元),--,10377,--,9305,--,8294,7642,6770,5809,--,--,
固定资产净值(万元),--,19905,--,20339,--,19162,10471,6177,6667,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),20118,19905,20065,20339,19053,19162,10471,6177,6667,7016,6776,
在建工程(万元),3492,3524,3112,2746,3798,3598,11380,12141,7751,1736,201,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),1636,1645,1654,1663,1672,1682,1700,1737,1480,1510,82,
