报告日期,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
货币资金(万元),46350,26470,29024,29665,32816,34668,35974,38783,36823,17426,11048,15893,18811,11850,11776,16250,19535,29183,34307,39078,41706,36112,39306,42086,41497,36906,37960,38966,40598,39458,39495,7543,10967,10946,9248,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,121,
衍生金融资产(万元),1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收票据(万元),--,50,68,1115,827,139,--,30,220,146,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
应收账款(万元),86980,89416,78530,69768,50629,42194,41596,25695,23137,17237,15805,10707,9980,11811,11421,7512,7694,7058,6697,5939,5560,9225,7271,6663,7017,7633,6718,5465,5361,5590,6501,4068,4002,1674,1112,
预付款项(万元),1908,5340,3822,4089,2104,1731,2487,1866,1069,724,466,454,506,1724,1000,998,965,1700,1731,855,541,548,410,451,438,320,199,330,548,304,1061,1173,67,20,463,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
应收利息(万元),34,--,7,15,15,63,31,34,32,5,2,1,2,13,24,51,11,30,47,76,209,198,97,420,246,333,155,370,192,--,--,0,0,0,0,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
其他应收款(万元),--,4566,5607,5238,4102,3559,3423,4470,2248,955,1381,1095,1570,1781,1266,1346,1233,1260,1264,914,537,836,707,794,304,460,473,456,265,398,330,513,851,172,235,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
存货(万元),23309,25841,23463,23722,23156,26049,15626,15831,14015,14164,12237,13550,12984,11891,10558,11294,11809,10702,9764,9465,6661,7088,6137,6305,5561,5687,5047,7207,5714,4976,4534,5535,3743,3188,3820,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
其他流动资产(万元),19059,11415,9307,11781,19577,2622,2121,4934,6449,6535,10073,7359,4752,8463,11188,14174,14310,276,340,345,453,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
流动资产合计(万元),180692,163097,149829,145393,133225,111025,101258,91642,83994,57192,51012,49059,48606,47534,47233,51626,55556,50208,54149,56671,55667,54008,53928,56719,55064,51339,50552,52793,52679,50726,51922,18831,19630,16001,14999,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
可供出售金融资产(万元),1300,1300,1300,1300,1300,1300,1300,1000,1000,1000,2000,2000,2000,2000,2000,2000,2000,2000,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
长期股权投资(万元),356,418,418,418,118,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
投资性房地产(万元),2678,2695,2712,2651,2653,224,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,0,0,0,
固定资产原值(万元),22463,--,21387,--,21416,--,20801,--,19599,--,19234,--,17886,--,16871,--,16412,--,7762,--,7248,--,6369,--,2426,--,2221,--,2057,--,1960,0,1821,1396,0,
累计折旧(万元),6285,--,5746,--,5016,--,4498,--,3903,--,3216,--,2740,--,2332,--,1943,--,1592,--,1377,--,1205,--,1029,--,937,--,827,--,710,0,599,418,0,
固定资产净值(万元),16178,--,15642,--,16400,--,16302,--,15697,--,16018,--,15145,--,14539,--,14469,--,6170,--,5872,--,5163,--,1398,--,1284,--,1230,--,1250,0,1223,978,0,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,
